,sofifa_id,short_name,player_positions,overall,value_eur,id
0,212198,Bruno Fernandes,CAM,88,107500000.0,0
1,189596,T. Müller,"CAM, RM, RW",87,66000000.0,1
2,218667,Bernardo Silva,"CAM, CM, RW",86,80000000.0,2
3,143076,A. Gómez,"CAM, CF, CM",85,33500000.0,3
4,168542,David Silva,"CAM, CM",85,22000000.0,4
5,188350,M. Reus,"CAM, CF",85,43000000.0,5
6,198706,Luis Alberto,"CAM, CM, CF",84,42500000.0,6
7,216594,N. Fekir,"CAM, RM, ST",84,45000000.0,7
8,235790,K. Havertz,"CAM, CF, CM",84,94500000.0,8
9,237692,P. Foden,"CAM, LW, CM",84,94500000.0,9
10,189575,Muniain,"CAM, RM, LM",83,36500000.0,10
11,230481,Ronaldo Cabrais,"CAM, RM",83,35500000.0,11
12,233064,M. Mount,"CAM, CM, RW",83,58500000.0,12
13,187072,L. Stindl,"CAM, ST",82,24000000.0,13
14,188152,Oscar,"CAM, CM, LW",82,30000000.0,14
15,189242,Coutinho,"CAM, LW, CM",82,30000000.0,15
16,192318,M. Götze,"CAM, CM",82,30000000.0,16
17,197781,Isco,"CAM, CM, LW",82,30000000.0,17
18,208128,H. Çalhanoğlu,"CAM, LM",82,35000000.0,18
19,220697,J. Maddison,"CAM, CM",82,41500000.0,19
20,222665,M. Ødegaard,"CAM, CM",82,49000000.0,20
21,235569,T. Ndombele,"CAM, CM, CDM",82,46000000.0,21
22,244260,Dani Olmo,"CAM, CF",82,46000000.0,22
23,187754,Marlos,"CAM, RM",81,16000000.0,23
24,198164,Jonathan Viera,CAM,81,21500000.0,24
25,208448,E. Forsberg,"CAM, CF",81,25500000.0,25
26,212194,J. Brandt,"CAM, CM, CF",81,36000000.0,26
27,228251,L. Pellegrini,"CAM, CM, CDM",81,38000000.0,27
28,232411,C. Nkunku,"CAM, CM, CF",81,39000000.0,28
29,178518,R. Nainggolan,"CAM, CM, CF",80,13000000.0,29
30,197225,N. Lodeiro,CAM,80,16500000.0,30
31,202166,J. Draxler,"CAM, LW, CM",80,24500000.0,31
32,203895,Pozuelo,"CAM, ST",80,20500000.0,32
33,203980,K. Fortounis,"CAM, LW, RW",80,21000000.0,33
34,208808,Q. Promes,"CAM, LW",80,20500000.0,34
35,211117,D. Alli,"CAM, CM",80,26500000.0,35
36,230271,Laure Santeiro,"CAM, LM, LW",80,25000000.0,36
37,241095,N. Vlašić,CAM,80,33500000.0,37
38,176635,M. Özil,"CAM, RW",79,14000000.0,38
39,184484,G. Sigurðsson,"CAM, CM",79,14500000.0,39
40,198329,Rodrigo,"CAM, ST, CM",79,17000000.0,40
41,203483,D. Klaassen,"CAM, CM",79,17500000.0,41
42,207494,J. Lingard,CAM,79,17500000.0,42
43,210513,J. Quintero,CAM,79,17500000.0,43
44,212404,F. Bernardeschi,"CAM, LM, RM",79,18500000.0,44
45,232730,D. Kamada,"CAM, CF",79,24000000.0,45
46,240243,Matheus Cunha,"CAM, LM, ST",79,35500000.0,46
47,173909,K. Boateng,"CAM, CM, CF",78,6500000.0,47
48,178088,Juan Mata,"CAM, RM",78,9000000.0,48
49,186197,G. Kakuta,CAM,78,13500000.0,49
50,191180,J. Pastore,"CAM, CM",78,11000000.0,50
51,193361,R. Soriano,"CAM, CM",78,13500000.0,51
52,199189,R. Barkley,"CAM, CM",78,16000000.0,52
53,205966,A. Younes,"CAM, CF, LM",78,15000000.0,53
54,209288,F. Mollet,"CAM, CM",78,14000000.0,54
55,210930,Carles Gil,"CAM, RM",78,14000000.0,55
56,212207,N. Stanciu,"CAM, CM",78,14000000.0,56
57,214092,A. Miranchuk,"CAM, ST",78,17500000.0,57
58,226789,A. Fulgini,"CAM, CM, RM",78,20000000.0,58
59,231410,Brahim,"CAM, LW, LM",78,31500000.0,59
60,238067,N. Zaniolo,"CAM, RM",78,31500000.0,60
61,239613,M. Pessina,"CAM, CM, CF",78,28000000.0,61
62,242187,C. Baumgartner,"CAM, LM, CM",78,22500000.0,62
63,256630,F. Wirtz,"CAM, CM",78,29500000.0,63
64,172114,D. Valeri,"CAM, ST",77,4300000.0,64
65,188988,M. Lanzini,"CAM, CM, LM",77,10500000.0,65
66,192342,E. Cardona,"CAM, LW, LM",77,10500000.0,66
67,202851,G. Defrel,"CAM, ST, LW",77,10000000.0,67
68,208250,A. Bakasetas,"CAM, CM",77,10500000.0,68
69,209440,Romarinho,"CAM, CF, LM",77,10000000.0,69
70,220621,S. Benrahma,"CAM, LM, LW",77,14000000.0,70
71,225309,N. Amiri,"CAM, CM",77,15000000.0,71
72,228414,Matheus Pereira,"CAM, RM, RW",77,14500000.0,72
73,230269,Claudio Coíntra,"CAM, CF",77,11500000.0,73
74,230977,M. Almirón,"CAM, CM, RM",77,12000000.0,74
75,231102,L. Blas,"CAM, RM",77,16500000.0,75
76,234468,E. Reynoso,"CAM, LM",77,14500000.0,76
77,236477,A. Claude-Maurice,"CAM, CM",77,16500000.0,77
78,236772,D. Szoboszlai,"CAM, LM",77,23000000.0,78
79,245155,M. Kudus,"CAM, CM",77,23000000.0,79
80,245541,G. Reyna,"CAM, LM, RM",77,22000000.0,80
81,163925,A. Diamanti,"CAM, RW",76,2400000.0,81
82,170719,D. Buonanotte,CAM,76,4700000.0,82
83,179765,E. Vecchio,"CAM, CM",76,6000000.0,83
84,189454,D. Díaz,CAM,76,3100000.0,84
85,193881,F. Đuričić,"CAM, LW",76,7500000.0,85
86,201858,N. Sansone,"CAM, LW, ST",76,7500000.0,86
87,202599,Igor Coronado,"CAM, CF",76,7500000.0,87
88,204691,M. Pereyra,"CAM, CM, RM",76,6000000.0,88
89,208045,O. Tannane,"CAM, RM",76,8000000.0,89
90,208224,P. Mantalos,"CAM, LM",76,7500000.0,90
91,208787,A. Thomasson,"CAM, CM",76,8500000.0,91
92,210438,F. Boulaya,"CAM, RW",76,7500000.0,92
93,215270,L. Zelarayán,CAM,76,7500000.0,93
94,226377,G. Martínez,"CAM, RM, LM",76,7500000.0,94
95,230463,Simão Acunha,"CAM, CF",76,4700000.0,95
96,230475,Adilson Edrada,CAM,76,7500000.0,96
97,233556,R. Orsolini,"CAM, RW",76,12000000.0,97
98,235008,L. Robertone,"CAM, CM, CDM",76,15000000.0,98
99,236679,Melendo,"CAM, RM, ST",76,11500000.0,99
100,240273,E. Smith Rowe,CAM,76,16500000.0,100
101,242374,M. Barrow,"CAM, ST",76,15000000.0,101
102,244261,L. Majer,"CAM, CM, RM",76,16500000.0,102
103,137242,L. Jiménez,"CAM, CF",75,1800000.0,103
104,153048,M. Eikrem,CAM,75,5500000.0,104
105,176376,I. Piatti,"CAM, CM, LM",75,1800000.0,105
106,178090,D. Biseswar,"CAM, LM",75,3500000.0,106
107,181271,B. Dočkal,"CAM, CM",75,4500000.0,107
108,183895,M. Moralez,"CAM, CM",75,2600000.0,108
109,190544,A. Ljajić,"CAM, CM, LM",75,5500000.0,109
110,190581,U. Dávila,"CAM, RM, ST",75,5500000.0,110
111,195202,T. Cairney,"CAM, CM",75,5500000.0,111
112,198451,Dani Rodríguez,"CAM, LM, ST",75,3500000.0,112
113,198640,Z. Labyad,"CAM, CF",75,5500000.0,113
114,199247,Álex Fernández,"CAM, CDM, LM",75,5500000.0,114
