,sofifa_id,short_name,player_positions,overall,value_eur,id
0,203376,V. van Dijk,CB,89,86000000.0,0
1,155862,Sergio Ramos,CB,88,24000000.0,1
2,207865,Marquinhos,"CB, CDM",87,90500000.0,2
3,239818,Rúben Dias,CB,87,102500000.0,3
4,138956,G. Chiellini,CB,86,12000000.0,4
5,178603,M. Hummels,CB,86,44000000.0,5
6,201024,K. Koulibaly,CB,86,55500000.0,6
7,201535,R. Varane,CB,86,68500000.0,7
8,212218,A. Laporte,CB,86,77000000.0,8
9,232363,M. Škriniar,CB,86,74000000.0,9
10,164240,Thiago Silva,CB,85,9500000.0,10
11,184344,L. Bonucci,CB,85,17500000.0,11
12,198176,S. de Vrij,CB,85,45000000.0,12
13,235243,M. de Ligt,CB,85,75000000.0,13
14,152729,Piqué,CB,84,13500000.0,14
15,197445,D. Alaba,"CB, LB",84,35500000.0,15
16,203263,H. Maguire,CB,84,42500000.0,16
17,204639,S. Savić,CB,84,34500000.0,17
18,207862,M. Ginter,CB,84,42500000.0,18
19,207863,Felipe,CB,84,27500000.0,19
20,216460,J. Giménez,CB,84,52000000.0,20
21,179645,S. Kjær,CB,83,23500000.0,21
22,183907,J. Boateng,CB,83,23500000.0,22
23,184432,Azpilicueta,"CB, RWB",83,25000000.0,23
24,192774,K. Manolas,CB,83,30000000.0,24
25,197061,J. Matip,CB,83,30500000.0,25
26,197655,S. Coates,CB,83,30000000.0,26
27,199845,F. Acerbi,CB,83,17500000.0,27
28,203574,J. Stones,CB,83,41000000.0,28
29,205452,A. Rüdiger,CB,83,34500000.0,29
30,225850,P. Kimpembe,CB,83,45500000.0,30
31,241486,J. Koundé,CB,83,53000000.0,31
32,120533,Pepe,CB,82,5500000.0,32
33,157481,Raúl Albiol,CB,82,8000000.0,33
34,190815,D. Blind,"CB, CDM, LB",82,21000000.0,34
35,201305,Gabriel Paulista,CB,82,25000000.0,35
36,210413,A. Romagnoli,CB,82,31500000.0,36
37,212190,N. Süle,"CB, RB",82,40500000.0,37
38,219693,Diego Carlos,CB,82,30500000.0,38
39,220440,C. Lenglet,CB,82,37500000.0,39
40,225100,J. Gomez,CB,82,43500000.0,40
41,229558,D. Upamecano,CB,82,64000000.0,41
42,229668,Mario Hermoso,"CB, LB",82,35500000.0,42
43,230375,Josué Chiamulera,CB,82,25500000.0,43
44,232488,C. Romero,CB,82,41500000.0,44
45,240130,Éder Militão,CB,82,56500000.0,45
46,241464,Pau Torres,CB,82,56500000.0,46
47,171791,José Fonte,CB,81,4600000.0,47
48,172871,J. Vertonghen,CB,81,8500000.0,48
49,192366,N. Otamendi,CB,81,12500000.0,49
50,200724,Nacho Fernández,"CB, RB, LB",81,17500000.0,50
51,202695,J. Tarkowski,CB,81,24500000.0,51
52,204311,K. Zouma,CB,81,30000000.0,52
53,204525,Iñigo Martínez,CB,81,21000000.0,53
54,204638,W. Orban,CB,81,24500000.0,54
55,217940,D. Djené,CB,81,24000000.0,55
56,227950,Yeray,CB,81,28000000.0,56
57,230225,Juiano Mestres,"CB, CDM",81,25000000.0,57
58,247263,E. Tapsoba,CB,81,48500000.0,58
59,169588,J. Evans,CB,80,10000000.0,59
60,177509,M. Benatia,CB,80,7000000.0,60
61,182493,D. Godín,CB,80,5500000.0,61
62,183855,A. Ogbonna,CB,80,10000000.0,62
63,187598,Rafael Tolói,CB,80,17500000.0,63
64,198141,Bartra,"CB, CDM",80,17500000.0,64
65,201143,A. Mandi,CB,80,19500000.0,65
66,201922,M. Hinteregger,CB,80,18000000.0,66
67,205600,S. Umtiti,CB,80,19500000.0,67
68,205705,Z. Feddal,CB,80,14500000.0,68
69,207599,M. Keane,CB,80,20000000.0,69
70,213661,A. Christensen,CB,80,28000000.0,70
71,220182,J. Denayer,CB,80,24500000.0,71
72,221660,V. Lindelöf,CB,80,23000000.0,72
73,222331,L. Klostermann,"CB, RB, RWB",80,26500000.0,73
74,229237,M. Akanji,CB,80,25000000.0,74
75,229582,G. Mancini,"CB, CDM",80,26500000.0,75
76,230313,Tony Abranjes,CB,80,10000000.0,76
77,232119,Ç. Söyüncü,CB,80,25000000.0,77
78,237383,A. Bastoni,CB,80,44500000.0,78
79,240900,Unai Núñez,CB,80,27000000.0,79
