,sofifa_id,short_name,player_positions,overall,value_eur,id
0,215914,N. Kanté,"CDM, CM",90,100000000.0,0
1,200145,Casemiro,CDM,89,88000000.0,1
2,212622,J. Kimmich,"CDM, RB",89,108000000.0,2
3,189511,Sergio Busquets,"CDM, CM",86,45000000.0,3
4,209499,Fabinho,"CDM, CB",86,73500000.0,4
5,231866,Rodri,CDM,86,81000000.0,5
6,226790,W. Ndidi,"CDM, CM",85,66500000.0,6
7,183711,J. Henderson,"CDM, CM",84,29500000.0,7
8,184134,Fernando,"CDM, CM",84,21000000.0,8
9,216352,M. Brozović,"CDM, CM",84,37000000.0,9
10,230938,F. Kessié,"CDM, CM",84,49500000.0,10
11,135507,Fernandinho,"CDM, CB",83,7000000.0,11
12,177413,A. Witsel,"CDM, CM",83,24000000.0,12
13,199914,Allan,"CDM, CM",83,30500000.0,13
14,213648,P. Højbjerg,"CDM, CM",83,43500000.0,14
15,178562,É. Banega,"CDM, CM",82,15000000.0,15
16,193474,I. Gueye,"CDM, CM",82,21500000.0,16
17,201519,J. Veretout,"CDM, CM",82,29500000.0,17
18,208461,M. de Roon,"CDM, CM",82,25500000.0,18
19,222077,M. Locatelli,"CDM, CM",82,42000000.0,19
20,229391,Palhinha,"CDM, CM",82,41000000.0,20
21,234378,D. Rice,"CDM, CM",82,43000000.0,21
22,236792,T. Souček,"CDM, CM",82,36000000.0,22
23,176266,Lucas Leiva,CDM,81,9000000.0,23
24,190674,B. André,"CDM, CM",81,21500000.0,24
25,193283,T. Delaney,"CDM, CM",81,22000000.0,25
26,200888,Danilo Pereira,"CDM, CM",81,22000000.0,26
27,206511,M. Arnold,"CDM, CM",81,26500000.0,27
28,207439,L. Paredes,"CDM, CM",81,28000000.0,28
29,209297,Fred,"CDM, CM",81,22500000.0,29
30,224081,K. Phillips,"CDM, CM, CB",81,32500000.0,30
31,225375,K. Laimer,"CDM, CM, RB",81,33500000.0,31
32,230258,Rosberto Dourado,"CDM, CM, CAM",81,27000000.0,32
33,196432,E. Pérez,"CDM, CM",80,6000000.0,33
34,199042,C. Aránguiz,"CDM, CM",80,14000000.0,34
35,202325,D. Demme,"CDM, CM",80,18000000.0,35
36,223959,L. Torreira,"CDM, CM",80,26500000.0,36
37,229261,D. Zakaria,"CDM, CB",80,30500000.0,37
38,233195,X. Schlager,"CDM, CM",80,27500000.0,38
39,236987,B. Kamara,"CDM, CB",80,31000000.0,39
40,237238,S. McTominay,"CDM, CM",80,27500000.0,40
41,170890,B. Matuidi,"CDM, CM",79,6000000.0,41
42,186682,Montoro,"CDM, CM, CAM",79,8500000.0,42
43,187052,Y. M'Vila,"CDM, CM, CB",79,12500000.0,43
44,188041,Rafael Carioca,"CDM, CM",79,11500000.0,44
45,189560,Iborra,"CDM, CM",79,8500000.0,45
46,190584,Illarramendi,"CDM, CM",79,12500000.0,46
47,191202,N. Matić,CDM,79,11500000.0,47
48,193198,N. Gudelj,"CDM, CM, CB",79,15000000.0,48
49,199503,G. Xhaka,"CDM, CM",79,15500000.0,49
50,204024,C. Kramer,CDM,79,14500000.0,50
51,206413,T. Stepanenko,CDM,79,12500000.0,51
52,219809,T. Bakayoko,"CDM, CM",79,19500000.0,52
53,220673,R. Tapia,"CDM, CM",79,22000000.0,53
54,230234,Everton Andrão,"CDM, CM",79,17000000.0,54
55,230251,Melvin Parrela,CDM,79,18500000.0,55
56,232665,M. Arambarri,"CDM, CM",79,23500000.0,56
57,236480,Y. Bissouma,"CDM, CM",79,24500000.0,57
58,239433,N. Maksimović,"CDM, CM",79,23000000.0,58
59,240679,T. Koopmeiners,"CDM, CM, CB",79,24500000.0,59
60,247851,Bruno Guimarães,"CDM, CM",79,24500000.0,60
61,171897,A. Guardado,"CDM, CM, LM",78,4800000.0,61
62,178250,P. Diop,"CDM, CM",78,4000000.0,62
63,183394,M. Sissoko,"CDM, CM",78,10000000.0,63
64,187936,S. Nzonzi,"CDM, CM",78,9500000.0,64
65,189280,A. Westwood,"CDM, CM",78,10000000.0,65
66,189606,J. Baumgartlinger,"CDM, CM",78,7000000.0,66
67,199576,Oriol Romeu,"CDM, CM",78,12000000.0,67
68,207566,William Carvalho,"CDM, CM",78,12000000.0,68
69,208268,B. Cristante,"CDM, CB, CM",78,17500000.0,69
70,208334,J. Hector,"CDM, LB",78,10000000.0,70
71,210881,J. McGinn,"CDM, CM",78,16500000.0,71
72,213160,R. Zobnin,"CDM, CM, RM",78,15000000.0,72
73,213874,Thiago Mendes,"CDM, CM",78,12000000.0,73
74,219792,B. Santamaria,"CDM, CM",78,15500000.0,74
75,225659,G. Rodríguez,"CDM, CM",78,15000000.0,75
76,232487,W. Endo,"CDM, CM",78,13500000.0,76
77,239817,B. Soumaré,"CDM, CM",78,27000000.0,77
78,242201,Luis Milla,"CDM, CM, CAM",78,17500000.0,78
79,158963,L. Biglia,"CDM, CM",77,3000000.0,79
80,181098,M. Hasebe,"CDM, CB",77,2100000.0,80
81,185221,Luiz Gustavo,"CDM, CB",77,5000000.0,81
82,190432,Oier,"CDM, CM",77,3000000.0,82
83,198118,J. Guilavogui,"CDM, CM, CB",77,9000000.0,83
84,198129,C. Ortiz,"CDM, CM",77,7000000.0,84
85,200215,S. Rode,"CDM, CM",77,9000000.0,85
86,211454,M. Elneny,"CDM, CM",77,9500000.0,86
87,212153,R. Gagliardini,"CDM, CM",77,10000000.0,87
88,214009,G. Cuéllar,CDM,77,10000000.0,88
89,214947,J. Gbamin,"CDM, CM",77,12500000.0,89
90,214977,M. Kranevitter,"CDM, CM",77,10000000.0,90
91,215057,I. Marcone,"CDM, CM",77,7500000.0,91
92,219391,G. Escalante,"CDM, CM",77,10000000.0,92
93,222400,H. Winks,"CDM, CM",77,12500000.0,93
94,225126,E. Skhiri,"CDM, CM",77,11500000.0,94
95,230331,Wagner Laranjo,"CDM, CM",77,2100000.0,95
96,230346,Jadsinho Mei,"CDM, CM",77,10500000.0,96
97,230349,Rodrigo Vuarte,CDM,77,9000000.0,97
98,230431,Sidney Pessinho,"CDM, CM",77,9000000.0,98
99,232999,T. Adams,"CDM, RWB",77,15500000.0,99
100,235173,I. Sangaré,"CDM, CM",77,20000000.0,100
101,235844,E. Álvarez,"CDM, CB",77,15500000.0,101
102,235945,Marc Roca,"CDM, CM",77,14500000.0,102
103,236496,M. Guendouzi,"CDM, CM",77,20000000.0,103
104,236499,Douglas Luiz,"CDM, CM",77,14500000.0,104
105,236639,Xeka,"CDM, CM",77,12500000.0,105
106,240471,F. Gorriarán,"CDM, CM",77,12500000.0,106
107,241096,S. Tonali,"CDM, CM",77,22500000.0,107
108,243015,L. Romo,"CDM, CB, CM",77,14000000.0,108
109,251116,T. Holeš,"CDM, RB, CB",77,10000000.0,109
110,252308,A. Musrati,"CDM, CM",77,13500000.0,110
111,134744,A. Hutchinson,"CDM, CM",76,1500000.0,111
112,168621,Zeca,"CDM, CM",76,5000000.0,112
113,169706,J. Cork,"CDM, CM",76,5000000.0,113
114,176930,M. Díaz,"CDM, CM",76,2600000.0,114
115,191627,M. Rits,"CDM, CM",76,7500000.0,115
116,193116,M. Gonalons,"CDM, CM",76,5000000.0,116
117,193683,X. Chavalerin,"CDM, CM",76,6500000.0,117
118,201144,M. Badelj,"CDM, CM",76,5000000.0,118
119,205201,O. Yokuşlu,"CDM, CM",76,8500000.0,119
120,206115,I. Hayden,"CDM, CM, CB",76,9000000.0,120
121,206304,L. Milivojević,"CDM, CM",76,6500000.0,121
122,206306,J. Ferri,"CDM, CM",76,6500000.0,122
123,215119,L. Romero,"CDM, CM",76,7500000.0,123
124,216350,A. Ademi,"CDM, CM",76,6500000.0,124
125,222404,M. Normann,"CDM, CM",76,10500000.0,125
126,222715,Otávio,"CDM, CM",76,8000000.0,126
127,224158,S. Amrabat,"CDM, CM",76,9500000.0,127
128,227234,L. Tousart,"CDM, CM",76,10500000.0,128
129,227772,G. Giménez,"CDM, CM",76,6500000.0,129
130,228092,S. Berge,"CDM, CM",76,11000000.0,130
131,229862,Edu Expósito,"CDM, CM, CAM",76,14000000.0,131
132,230453,David Seijalbo,CDM,76,7500000.0,132
133,230457,Gabrisco Aníbal,"CDM, CM",76,6500000.0,133
134,230613,A. Diawara,"CDM, CM",76,9000000.0,134
135,235149,J. Schouten,"CDM, CM",76,10500000.0,135
136,235424,D. Samassékou,"CDM, CM",76,9000000.0,136
137,236264,P. Aquino,"CDM, CM",76,9500000.0,137
138,237184,K. Bare,"CDM, CM",76,11000000.0,138
139,241707,P. Gueye,"CDM, CM",76,14500000.0,139
140,242380,Stephen Eustáquio,"CDM, CM",76,11000000.0,140
141,251221,L. Kalvach,"CDM, CM",76,9500000.0,141
142,149185,F. Magnanelli,CDM,75,1100000.0,142
143,158144,Salva Sevilla,"CDM, CM",75,1100000.0,143
144,173030,Ó. Trejo,"CDM, CAM, CM",75,2800000.0,144
145,177358,M. Schneiderlin,"CDM, CM",75,3900000.0,145
146,183376,L. Fejsa,"CDM, CM",75,3700000.0,146
147,183427,F. Delph,"CDM, CM, LB",75,3900000.0,147
148,184606,Fábio Pacheco,"CDM, CM",75,2800000.0,148
149,184999,Maurício,"CDM, CM",75,3700000.0,149
150,185174,A. Poli,"CDM, CM",75,3900000.0,150
151,186351,L. Fer,"CDM, CB",75,3900000.0,151
152,188942,V. Wanyama,"CDM, CM",75,4700000.0,152
153,198861,N. Mendy,"CDM, CM",75,4800000.0,153
154,199158,Sergio Álvarez,"CDM, CB, CM",75,4800000.0,154
155,200054,Pedro Obiang,"CDM, CM",75,4800000.0,155
156,203067,D. Chará,"CDM, CM",75,1600000.0,156
157,205895,A. Ring,"CDM, CM",75,4700000.0,157
158,207939,G. Pizarro,"CDM, CM",75,3900000.0,158
159,210281,C. Pellerano,"CDM, CM",75,1100000.0,159
160,211382,I. Amadou,"CDM, CB, CM",75,5500000.0,160
161,212212,D. Kohr,"CDM, CM",75,6000000.0,161
162,213242,A. Tameze,"CDM, CM",75,6000000.0,162
163,213367,L. Abergel,"CDM, CM",75,5500000.0,163
164,213629,E. Pulgar,"CDM, CM",75,6000000.0,164
165,213689,B. Pearson,CDM,75,6500000.0,165
166,213899,É. Balanta,"CDM, CM, CB",75,5500000.0,166
167,213991,J. Lerma,"CDM, CM",75,6000000.0,167
168,220905,J. Aholou,"CDM, CM",75,6500000.0,168
169,220948,S. Sydorchuk,"CDM, CM",75,4700000.0,169
170,221269,J. Riedewald,"CDM, CB",75,7000000.0,170
171,222429,A. Cubas,"CDM, CM",75,7000000.0,171
