,sofifa_id,short_name,player_positions,overall,value_eur,id
0,192985,K. De Bruyne,"CM, CAM",91,125500000.0,0
1,182521,T. Kroos,CM,88,75000000.0,1
2,177003,L. Modrić,CM,87,32000000.0,2
3,195864,P. Pogba,"CM, LM",87,79500000.0,3
4,199556,M. Verratti,"CM, CAM",87,79500000.0,4
5,209658,L. Goretzka,"CM, CDM",87,93000000.0,5
6,228702,F. de Jong,"CM, CDM, CB",87,119500000.0,6
7,189509,Thiago,"CM, CDM",86,65000000.0,7
8,189513,Parejo,CM,86,53500000.0,8
9,226161,Marcos Llorente,"CM, RM, ST",86,88000000.0,9
10,186942,İ. Gündoğan,"CM, CDM",85,51500000.0,10
11,193747,Koke,"CM, CDM",85,52500000.0,11
12,205498,Jorginho,"CM, CDM",85,52500000.0,12
13,223848,S. Milinković-Savić,"CM, CDM, CAM",85,66000000.0,13
14,181291,G. Wijnaldum,"CM, CDM",84,40500000.0,14
15,204923,M. Sabitzer,"CM, CDM, CAM",84,48000000.0,15
16,216393,Y. Tielemans,"CM, CDM",84,57000000.0,16
17,224232,N. Barella,CM,84,63500000.0,17
18,187961,Paulinho,"CM, CAM, CDM",83,28500000.0,18
19,190286,Canales,"CM, CDM, LM",83,34500000.0,19
20,207410,M. Kovačić,"CM, CDM",83,41500000.0,20
21,209989,T. Partey,"CM, CDM",83,36500000.0,21
22,225193,Merino,CM,83,50000000.0,22
23,230658,Arthur,CM,83,47000000.0,23
24,239053,F. Valverde,CM,83,58000000.0,24
25,168651,I. Rakitić,CM,82,18500000.0,25
26,180206,M. Pjanić,CM,82,25000000.0,26
27,190460,C. Eriksen,"CM, CAM",82,29500000.0,27
28,199823,Campaña,"CM, LM, RM",82,30500000.0,28
29,208333,E. Can,"CM, CB, CDM",82,35000000.0,29
30,208421,Saúl,"CM, LM",82,39500000.0,30
31,212616,R. De Paul,"CM, CF",82,35000000.0,31
32,224293,Rúben Neves,CM,82,46000000.0,32
33,226271,Fabián,CM,82,42000000.0,33
34,234943,F. Neuhaus,CM,82,46000000.0,34
35,156519,H. Herrera,CM,81,21000000.0,35
36,181872,A. Vidal,CM,81,12000000.0,36
37,195365,K. Kampl,"CM, CDM",81,24500000.0,37
38,197965,Pizzi,"CM, RM",81,21000000.0,38
39,205569,J. Ward-Prowse,CM,81,33500000.0,39
40,210008,A. Rabiot,"CM, CDM",81,30000000.0,40
41,210406,P. Zieliński,"CM, CAM",81,29500000.0,41
42,221363,D. van de Beek,"CM, CAM, CDM",81,38500000.0,42
43,226226,G. Lo Celso,"CM, CAM",81,35500000.0,43
44,233927,Lucas Paquetá,"CM, CAM",81,38500000.0,44
45,234153,Carlos Soler,"CM, RM, LM",81,51500000.0,45
46,234906,H. Aouar,"CM, CAM",81,38500000.0,46
47,251854,Pedri,CM,81,54000000.0,47
48,162347,João Moutinho,CM,80,9500000.0,48
49,171877,M. Hamšík,"CM, CDM, CAM",80,13000000.0,49
50,186561,A. Ramsey,"CM, CAM, LM",80,20000000.0,50
51,189271,F. Coquelin,"CM, CDM, RM",80,20000000.0,51
52,193061,R. Pereyra,"CM, LM, CF",80,20000000.0,52
53,198031,Sérgio Oliveira,CM,80,20500000.0,53
54,201400,Rafinha,"CM, CAM",80,21000000.0,54
55,202024,R. Freuler,CM,80,20500000.0,55
56,205686,T. Savanier,"CM, CAM",80,20500000.0,56
57,212814,João Mário,"CM, CAM",80,21000000.0,57
58,219683,C. Tolisso,"CM, CDM",80,24500000.0,58
59,220971,N. Keïta,CM,80,27500000.0,59
60,224309,Joan Jordán,"CM, CDM",80,24500000.0,60
61,226754,I. Bennacer,"CM, CDM",80,30000000.0,61
62,229857,S. Sensi,"CM, CDM",80,27500000.0,62
63,229927,Gerson,CM,80,30000000.0,63
64,230767,Renato Sanches,"CM, RM",80,33000000.0,64
65,41,Iniesta,"CM, CAM",79,5500000.0,65
66,138412,J. Milner,"CM, LB, RB",79,7000000.0,66
67,162240,M. Dembélé,"CM, CAM, CDM",79,11000000.0,67
68,191740,Ander Herrera,"CM, CDM",79,14500000.0,68
69,198784,A. Oxlade-Chamberlain,CM,79,18500000.0,69
70,201455,G. Kondogbia,"CM, CDM",79,17500000.0,70
71,202648,Sergi Darder,"CM, CDM",79,20000000.0,71
72,206545,Manu Trigueros,"CM, RM, LM",79,17000000.0,72
73,208135,A. Doucouré,"CM, CDM",79,17500000.0,73
74,210324,J. Hofmann,"CM, RM, LM",79,17500000.0,74
75,211748,K. Demirbay,"CM, CDM",79,18500000.0,75
76,214047,M. Uribe,"CM, CDM",79,17000000.0,76
77,218339,M. Dahoud,"CM, CDM",79,23000000.0,77
78,222028,J. Weigl,"CM, CDM",79,23000000.0,78
79,225663,A. Golovin,"CM, CAM, CF",79,24500000.0,79
80,241637,A. Tchouaméni,"CM, CDM",79,28000000.0,80
81,252371,J. Bellingham,"CM, LM",79,37000000.0,81
82,178007,Miguel Veloso,"CM, CDM",78,5500000.0,82
83,178213,E. Capoue,"CM, CDM",78,11000000.0,83
84,178415,R. Vormer,CM,78,8500000.0,84
85,189125,G. Bonaventura,"CM, CAM",78,11500000.0,85
86,195096,Fransérgio,"CM, CAM",78,13500000.0,86
87,198658,F. Midtsjø,"CM, CDM",78,15000000.0,87
88,199652,D. Praet,"CM, RM",78,15000000.0,88
89,200155,H. Vanaken,"CM, CAM",78,14000000.0,89
90,205192,Denis Suárez,"CM, LM, LW",78,16000000.0,90
91,214097,B. Bourigeaud,"CM, LM",78,16000000.0,91
92,216194,Dani García,CM,78,11500000.0,92
93,216320,S. Fofana,CM,78,17500000.0,93
94,219985,M. Vecino,"CM, CDM",78,13500000.0,94
95,223273,M. Pašalić,"CM, CAM",78,18000000.0,95
96,227535,R. Bentancur,CM,78,21000000.0,96
97,228336,F. Grillitsch,"CM, CDM, CB",78,18500000.0,97
98,230426,Arturo Inálcio,"CM, CAM",78,16500000.0,98
99,234060,Y. Herrera,"CM, CDM, CAM",78,22000000.0,99
100,238463,A. Haidara,"CM, RM, LM",78,21000000.0,100
101,240699,N. De la Cruz,"CM, CAM, LW",78,22000000.0,101
102,244253,U. Račić,"CM, CDM",78,28000000.0,102
103,245630,Y. Fofana,"CM, CDM",78,21500000.0,103
104,246104,R. Gravenberch,"CM, CDM",78,33000000.0,104
105,246646,M. Caqueret,"CM, CDM",78,31500000.0,105
106,248243,E. Camavinga,"CM, CDM",78,29500000.0,106
107,170370,J. dos Santos,"CM, CDM",77,8500000.0,107
108,179605,A. Taarabt,"CM, CAM",77,8500000.0,108
109,184703,L. Montes,"CM, CDM, CAM",77,4200000.0,109
110,190875,J. Kucka,"CM, CDM",77,4900000.0,110
111,194958,A. Mooy,"CM, CAM",77,10000000.0,111
112,208777,Óliver Torres,"CM, LW",77,13500000.0,112
113,211575,André Gomes,"CM, CDM",77,11000000.0,113
114,212245,Y. Gerhardt,CM,77,12000000.0,114
115,212501,L. Dendoncker,"CM, CB",77,13500000.0,115
116,216435,S. Lobotka,"CM, CDM",77,13500000.0,116
117,222390,Unai López,"CM, CDM",77,14500000.0,117
118,222509,Dani Ceballos,"CM, CDM",77,14500000.0,118
119,222709,Petros,"CM, CDM",77,8500000.0,119
120,223874,V. Rongier,"CM, CDM",77,13500000.0,120
121,225014,G. Castrovilli,CM,77,15000000.0,121
122,227508,Melero,"CM, ST, LM",77,12000000.0,122
123,229752,D. Sow,"CM, CDM",77,14500000.0,123
124,230965,N. Nández,"CM, CDM, RM",77,15500000.0,124
125,231521,E. Palacios,"CM, CDM, CAM",77,17000000.0,125
126,234568,Gedson Fernandes,CM,77,17000000.0,126
127,237520,M. Camara,"CM, CDM",77,16000000.0,127
128,238744,W. McKennie,"CM, RM, LM",77,16000000.0,128
129,247030,P. Ševčík,"CM, RM, CDM",77,12000000.0,129
130,253109,J. Veerman,"CM, CDM, CAM",77,17000000.0,130
