,sofifa_id,short_name,player_positions,overall,value_eur,id
0,216267,A. Robertson,LB,87,83500000.0,0
1,189332,Jordi Alba,"LB, LM",86,47000000.0,1
2,200458,L. Digne,LB,84,40500000.0,2
3,205988,L. Shaw,LB,84,48500000.0,3
4,209889,R. Guerreiro,"LB, LM",84,40500000.0,4
5,224334,M. Acuña,"LB, LM",84,37000000.0,5
6,232656,T. Hernández,LB,84,62500000.0,6
7,191043,Alex Sandro,"LB, LM",83,31500000.0,7
8,211688,Gayà,"LB, LWB, LM",83,43500000.0,8
9,220814,L. Hernández,"LB, CB",83,44500000.0,9
10,228618,F. Mendy,LB,83,43500000.0,10
11,183512,Yuri Berchiche,LB,82,22000000.0,11
12,205069,Juan Bernat,LB,82,27500000.0,12
13,210035,Grimaldo,"LB, LM, LWB",82,37000000.0,13
14,211256,N. Tagliafico,LB,82,27500000.0,14
15,212462,Alex Telles,LB,82,27500000.0,15
16,234396,A. Davies,"LB, LM",82,57000000.0,16
17,230347,Welington Dano,"LB, LM",81,27500000.0,17
18,245279,Reguilón,LB,81,32500000.0,18
19,251573,Renan Lodi,LB,81,36500000.0,19
20,176676,Marcelo,LB,80,11000000.0,20
21,177604,Nacho Monreal,LB,80,6500000.0,21
22,201119,Ismaily,LB,80,15500000.0,22
23,212187,P. Max,LB,80,22000000.0,23
24,226491,K. Tierney,"LB, CB, LWB",80,31000000.0,24
25,227813,O. Zinchenko,"LB, CDM",80,29500000.0,25
26,189615,A. Cresswell,"LB, CB",79,12500000.0,26
27,204884,B. Mendy,LB,79,19000000.0,27
28,205923,B. Davies,"LB, CB",79,16000000.0,28
29,209846,C. Günter,"LB, LM, LWB",79,16000000.0,29
30,224196,R. Bensebaini,"LB, CB",79,21000000.0,30
31,230184,Ronaldo Esler,"LB, LM",79,19000000.0,31
32,236572,O. Wijndal,LB,79,25000000.0,32
33,237942,P. Estupiñán,"LB, LWB",79,26000000.0,33
34,185103,A. Kolarov,"LB, CB",78,4300000.0,34
35,192679,Escudero,"LB, LM",78,10000000.0,35
36,193171,Jaume Costa,"LB, RB",78,7500000.0,36
37,204614,Mário Rui,LB,78,12000000.0,37
38,210736,Emerson,"LB, LWB",78,15000000.0,38
39,214040,F. Fabra,LB,78,12000000.0,39
40,217036,Álex Moreno,"LB, LWB, LM",78,12500000.0,40
41,217546,Sequeira,"LB, CB",78,12000000.0,41
42,221832,L. Olaza,"LB, LWB, CB",78,15000000.0,42
43,230183,Gerson Armão,"LB, LWB, LM",78,15000000.0,43
44,236045,Reinildo,LB,78,15000000.0,44
45,241184,Junior Firpo,"LB, LM",78,18500000.0,45
46,246844,Carlos Neva,LB,78,19000000.0,46
47,190143,Cote,LB,77,7500000.0,47
48,200536,N. Schulz,"LB, LM, LWB",77,9500000.0,48
49,201454,F. Ghoulam,LB,77,9000000.0,49
50,202562,J. Roussillon,"LB, LM",77,9500000.0,50
51,204876,Clerc,LB,77,9500000.0,51
52,210864,E. Hysaj,"LB, RB",77,11000000.0,52
53,215071,M. Casco,"LB, RB, LM",77,5500000.0,53
54,215160,F. Angileri,"LB, LWB",77,11000000.0,54
55,218659,M. Targett,LB,77,14500000.0,55
56,219681,J. Amavi,LB,77,11000000.0,56
57,220421,H. Kamara,LB,77,11000000.0,57
58,226637,Rubén Duarte,"LB, CB",77,14500000.0,58
59,228302,Pedraza,"LB, LM, LWB",77,14500000.0,59
60,230043,F. Maouassa,LB,77,13500000.0,60
61,230241,Enzo Chissano,"LB, RB, CB",77,9500000.0,61
62,230337,Andeson Trigo,"LB, LM, CAM",77,5500000.0,62
63,231318,R. Perraud,LB,77,15500000.0,63
64,232440,Caio Henrique,"LB, LM",77,14000000.0,64
65,238041,T. Malacia,LB,77,15000000.0,65
66,152554,G. Clichy,LB,76,2300000.0,66
67,169705,R. Bertrand,LB,76,5500000.0,67
68,186190,P. van Aanholt,LB,76,6500000.0,68
69,193352,R. Rodríguez,LB,76,7000000.0,69
70,201510,L. Kurzawa,LB,76,7000000.0,70
71,204125,J. Bořil,"LB, RB",76,6500000.0,71
72,204760,C. Taylor,LB,76,8000000.0,72
73,205566,Alberto Moreno,"LB, LM",76,7000000.0,73
74,208001,Paulo Otávio,"LB, LM",76,8000000.0,74
75,209744,E. Mena,"LB, LWB",76,5000000.0,75
76,210384,R. Haps,"LB, LW",76,7000000.0,76
77,212678,L. Augustinsson,"LB, LM",76,8000000.0,77
78,230189,Silas Almeim,"LB, LM",76,6500000.0,78
79,230348,Lafortiscinho,LB,76,6500000.0,79
80,240716,M. Olivera,"LB, LM",76,16000000.0,80
81,240915,Miranda,"LB, LWB",76,16000000.0,81
82,244380,V. Mykolenko,LB,76,14500000.0,82
83,251528,Z. Sanusi,LB,76,14500000.0,83
84,253290,M. Viña,LB,76,11000000.0,84
85,169595,D. Rose,LB,75,4800000.0,85
86,171875,C. Erkin,"LB, LM",75,3900000.0,86
