,sofifa_id,short_name,player_positions,overall,value_eur,id
0,200104,H. Son,"LM, CF, LW",89,104000000.0,0
1,213345,K. Coman,"LM, RM, LW",86,81000000.0,1
2,231677,M. Rashford,"LM, ST",85,77500000.0,2
3,208418,Y. Carrasco,"LM, ST",84,45000000.0,3
4,208574,F. Kostić,"LM, LWB",84,42500000.0,4
5,213565,T. Lemar,"LM, CM, RM",83,48000000.0,5
6,203486,T. Hazard,"LM, CF",82,30500000.0,6
7,220018,A. Rebić,"LM, ST",82,32500000.0,7
8,181458,I. Perišić,"LM, LW, LWB",81,20500000.0,8
9,210411,Otávio,"LM, RM, CM",81,30500000.0,9
10,210463,D. Machís,"LM, RM, ST",81,26000000.0,10
11,224411,Gonçalo Guedes,"LM, ST, CF",81,39000000.0,11
12,234742,H. Barnes,"LM, LW",81,35000000.0,12
13,239231,Cucurella,"LM, LB",81,41500000.0,13
14,222716,Everton,"LM, CAM",80,28000000.0,14
15,225085,J. Bamba,LM,80,28000000.0,15
16,225953,S. Bergwijn,"LM, LW, RM",80,30000000.0,16
17,241084,L. Díaz,LM,80,33500000.0,17
18,200315,Cristian Tello,"LM, RM",79,17000000.0,18
19,202477,Deulofeu,"LM, CF",79,18500000.0,19
20,211022,Rubén García,"LM, ST, RM",79,18500000.0,20
21,212096,V. Grifo,"LM, CF",79,17500000.0,21
22,216388,A. Saint-Maximin,"LM, ST",79,26500000.0,22
23,226456,Pablo Fornals,"LM, RM, CAM",79,23000000.0,23
24,228093,M. Thuram,"LM, ST",79,27500000.0,24
25,237239,E. Bardhi,"LM, CM",79,21000000.0,25
26,242516,C. Gakpo,"LM, ST",79,28000000.0,26
27,199715,Vitolo,"LM, RM",78,11500000.0,27
28,201995,Felipe Anderson,"LM, CAM",78,14000000.0,28
29,206590,Moi Gómez,"LM, RM, CM",78,15000000.0,29
30,210537,R. Steffen,"LM, RM",78,14000000.0,30
31,222943,Jony,LM,78,14000000.0,31
32,232080,J. Harrison,"LM, RM",78,22000000.0,32
33,244622,Puado,"LM, ST, CAM",78,28000000.0,33
34,190577,S. Blanco,"LM, CF",77,6500000.0,34
35,207421,L. Trossard,"LM, LW, ST",77,12500000.0,35
36,221174,M. Oršić,"LM, LW, ST",77,10500000.0,36
37,222515,Z. Ferhat,"LM, RM",77,10500000.0,37
38,224394,Fábio Martins,"LM, CF, RM",77,11000000.0,38
39,225997,B. Verbič,LM,77,11000000.0,39
40,230402,Muo Cadete,LM,77,12500000.0,40
41,230899,A. Lookman,"LM, CAM, ST",77,16500000.0,41
42,232862,S. Nakajima,LM,77,11500000.0,42
43,233531,Y. Soteldo,"LM, RM, CAM",77,16500000.0,43
44,235794,E. Eze,"LM, CAM",77,16500000.0,44
45,239482,Galeno,"LM, RW",77,21000000.0,45
46,241508,M. Damsgaard,"LM, LW",77,23000000.0,46
47,243282,D. McNeil,LM,77,17000000.0,47
48,244892,S. Diop,"LM, RM, CF",77,21500000.0,48
49,182945,M. Gradel,"LM, LW",76,4700000.0,49
50,198719,N. Redmond,LM,76,8000000.0,50
51,199561,Nolito,"LM, LW, CM",76,3500000.0,51
52,200529,N. Chadli,"LM, LW",76,6000000.0,52
53,206225,D. Cheryshev,LM,76,7000000.0,53
54,208053,D. Pelkas,"LM, CAM",76,8000000.0,54
55,210602,S. Al Dawsari,"LM, RM",76,7500000.0,55
56,211368,Bruma,"LM, RM",76,9000000.0,56
57,212127,D. Lazović,"LM, RM",76,7000000.0,57
58,213388,F. Tait,"LM, LW, CM",76,7500000.0,58
59,216433,A. El Ghazi,"LM, RW, LW",76,9000000.0,59
60,222368,A. Miranchuk,"LM, CAM, RM",76,10000000.0,60
61,224739,P. Olayinka,"LM, RM, ST",76,9500000.0,61
62,225783,S. Mavididi,"LM, ST",76,11500000.0,62
63,225951,D. Bouanga,"LM, ST, RM",76,9000000.0,63
64,228819,M. Vargas,"LM, LW",76,11500000.0,64
65,229469,J. Meneses,"LM, RM, CM",76,7500000.0,65
66,229517,Toni Villa,"LM, CAM, CM",76,9000000.0,66
67,233631,A. Ndiaye,"LM, ST, RM",76,10000000.0,67
68,233848,J. Hauge,LM,76,15000000.0,68
69,234711,J. Brekalo,"LM, CF",76,11000000.0,69
70,236920,J. Kluivert,"LM, RM",76,15000000.0,70
71,237135,Davidson,"LM, LW",76,7000000.0,71
72,242118,S. Córdova,"LM, RM, CM",76,12000000.0,72
73,246785,Bryan Gil,"LM, RM, CAM",76,16500000.0,73
74,251566,Gabriel Martinelli,"LM, LW",76,18000000.0,74
75,157301,R. Babel,"LM, ST",75,2600000.0,75
76,190059,S. Zuber,"LM, CM, LWB",75,5500000.0,76
77,191135,L. Júnior,"LM, RM",75,5500000.0,77
78,195038,F. Kainz,"LM, RM",75,5500000.0,78
79,197891,Juanmi,"LM, ST, LW",75,5500000.0,79
80,198143,Samu Sáiz,"LM, CAM, ST",75,5500000.0,80
81,200759,J. Schlupp,"LM, CM",75,5500000.0,81
82,203362,M. Elyounoussi,"LM, ST",75,6000000.0,82
83,205114,T. Inui,"LM, RM, CAM",75,3500000.0,83
84,205257,N. Sliti,"LM, CAM",75,5500000.0,84
85,207807,R. Fraser,LM,75,6000000.0,85
86,211119,Pedro Santos,"LM, CAM, RM",75,3500000.0,86
87,216447,Álvaro García,"LM, RM",75,5500000.0,87
88,216820,M. Simon,"LM, ST, RM",75,6500000.0,88
89,217097,R. Otero,"LM, CAM",75,5500000.0,89
90,219732,G. Nkoudou,"LM, LW",75,6500000.0,90
91,221919,A. Zeneli,"LM, LW",75,6500000.0,91
92,223061,F. Cervi,LM,75,6000000.0,92
93,225748,T. Cantwell,LM,75,11500000.0,93
94,229453,Gil Dias,"LM, LWB",75,8500000.0,94
95,230967,B. Lozano,"LM, RM",75,6000000.0,95
96,232097,A. Harit,"LM, CAM, CM",75,9000000.0,96
97,234045,H. Onyekuru,"LM, ST",75,8500000.0,97
98,234824,Y. Wissa,"LM, ST, LW",75,7500000.0,98
99,238581,R. Vargas,"LM, RM",75,12500000.0,99
100,241026,T. Chancalay,"LM, RM",75,12500000.0,100
101,243656,N. Radonjić,"LM, RM",75,7500000.0,101
102,180281,Fernandinho Silva,"LM, ST, CM",74,1700000.0,102
103,189172,Fidel,"LM, CM, LWB",74,3500000.0,103
104,190982,Alberto Perea,LM,74,4100000.0,104
105,200641,Y. Konoplyanka,"LM, LW",74,3500000.0,105
106,207454,P. Rodríguez,"LM, RM, RW",74,3500000.0,106
107,209523,D. González,"LM, RM, ST",74,4500000.0,107
108,211381,S. Boufal,"LM, LW",74,4500000.0,108
109,225562,Merquelanz,"LM, RM, CAM",74,5000000.0,109
110,225878,C. Domínguez,"LM, LW",74,4600000.0,110
111,226035,J. Morris,"LM, ST, RM",74,4600000.0,111
112,226592,J. Jankto,"LM, CM",74,5500000.0,112
113,229804,A. Mitriță,LM,74,5000000.0,113
114,230392,Ailtio Coelho,LM,74,4100000.0,114
115,231012,C. de Pena,LM,74,4100000.0,115
116,231236,M. Cafaro,"LM, RM, CM",74,6000000.0,116
117,231640,Ontiveros,"LM, LW",74,6500000.0,117
118,233061,M. Pereira Lage,"LM, RM, CM",74,6000000.0,118
119,235996,N. Moumi Ngamaleu,"LM, RM",74,4600000.0,119
120,236007,E. Barco,"LM, CAM",74,7000000.0,120
121,237207,S. Kalu,"LM, RM",74,6500000.0,121
122,237560,M. Djenepo,"LM, RM",74,6500000.0,122
123,237997,U. Antuna,"LM, RM, RW",74,6500000.0,123
124,238050,C. Ejuke,"LM, RM",74,8500000.0,124
125,240037,S. Plavšić,"LM, RM",74,5500000.0,125
126,241990,O. Fernández,"LM, CM, CAM",74,4200000.0,126
127,243551,A. Gholizadeh,"LM, RM, CM",74,5500000.0,127
128,252837,Nico Melamed,"LM, CAM, RM",74,10000000.0,128
129,253102,A. Aouchiche,"LM, CAM, CM",74,9000000.0,129
130,256948,C. Tzolis,"LM, RM, ST",74,10000000.0,130
131,157960,Manuel Fernandes,"LM, CAM",73,1200000.0,131
132,166074,Bebé,"LM, RM",73,2900000.0,132
133,179560,M. Sulejmani,"LM, RM",73,2400000.0,133
134,183187,V. Stocker,"LM, RM, CAM",73,2400000.0,134
135,188992,M. Estigarribia,"LM, CM",73,1900000.0,135
136,192350,J. Aquino,"LM, LB",73,2500000.0,136
137,201215,L. Krejčí,LM,73,3100000.0,137
138,205869,Jairo,"LM, RM, ST",73,3200000.0,138
139,207440,F. Fragapane,"LM, CAM, RM",73,3100000.0,139
140,207537,J. Lukaku,"LM, LB, LWB",73,3300000.0,140
141,209529,M. Tanković,"LM, CAM, LW",73,3600000.0,141
142,209888,C. Goodwin,"LM, RM",73,3000000.0,142
143,214369,A. Andrade,"LM, LW, CAM",73,2400000.0,143
144,220969,N. Eliasson,"LM, RM",73,3800000.0,144
145,221969,F. Mladenović,"LM, LB",73,3000000.0,145
146,224415,Luis Rioja,LM,73,3200000.0,146
147,224949,J. Dilrosun,LM,73,4800000.0,147
148,227227,D. Álvarez,"LM, RM, RW",73,3300000.0,148
149,227503,J. Bruun Larsen,"LM, LW, ST",73,6000000.0,149
150,227803,E. Martínez,"LM, RM, CAM",73,3200000.0,150
151,228312,R. Lod,"LM, CF, CAM",73,3100000.0,151
152,229595,L. Rodríguez,"LM, CAM, CM",73,4800000.0,152
153,229631,Lazo,"LM, CAM",73,4000000.0,153
154,234819,Guilherme,LM,73,3600000.0,154
155,236246,O. Ejaria,"LM, CM, CAM",73,6000000.0,155
156,241117,Borja Sánchez,"LM, CAM",73,4000000.0,156
157,252238,A. Velasco,"LM, LW, ST",73,7000000.0,157
158,258602,Jon Morcillo,"LM, LW",73,4900000.0,158
159,262595,J. Masharipov,LM,73,3200000.0,159
160,263288,J. Pešek,"LM, CF",73,3100000.0,160
161,264348,S. Rahimi,"LM, ST",73,4000000.0,161
162,169214,S. Sinclair,"LM, RM, ST",72,1900000.0,162
163,189157,Y. Bolasie,"LM, LW",72,1900000.0,163
164,189462,J. Hoilett,"LM, RM",72,1900000.0,164
165,193062,M. Zeegelaar,"LM, LB",72,2300000.0,165
166,198128,Caio,"LM, ST",72,2300000.0,166
167,199412,Sebá,"LM, ST, RM",72,2300000.0,167
168,199729,D. Royer,"LM, ST",72,1900000.0,168
169,201818,A. Musa,"LM, ST",72,2400000.0,169
170,201878,V. Eysseric,"LM, CAM, CF",72,2300000.0,170
171,204830,Vadillo,"LM, RM",72,2600000.0,171
172,205401,Vako,"LM, CAM",72,2400000.0,172
173,207960,Aitor García,"LM, ST, RM",72,2500000.0,173
174,210386,K. Peterson,LM,72,2800000.0,174
175,211891,A. Voglsammer,"LM, ST",72,2300000.0,175
176,212035,J. Bela,"LM, RM, LWB",72,2400000.0,176
177,212205,N. Storm,"LM, RM",72,2800000.0,177
178,214421,F. Hinestroza,"LM, RM",72,1900000.0,178
179,216229,R. Dugimont,"LM, CAM, ST",72,950000.0,179
180,219411,J. Izquierdo,"LM, LW",72,2400000.0,180
181,221564,N. Leiva,"LM, ST",72,3700000.0,181
182,221797,E. Thommy,"LM, RM, CAM",72,2600000.0,182
183,222204,Cao Yunding,"LM, LW",72,1900000.0,183
184,224368,M. Doumbia,"LM, LW",72,2600000.0,184
185,226356,M. Fares,"LM, LB, LW",72,3100000.0,185
186,226697,M. Lainez,"LM, LW, LWB",72,3100000.0,186
187,226797,V. Malcorra,"LM, LWB",72,1500000.0,187
188,228614,G. Holtmann,"LM, LW, RW",72,2800000.0,188
189,229321,Amilton,"LM, RM",72,1900000.0,189
190,231041,C. Ninga,"LM, ST",72,2400000.0,190
191,231414,Waldo,"LM, RM, LW",72,2800000.0,191
192,232514,G. Carabajal,"LM, CAM",72,2300000.0,192
193,232655,S. Juklerød,"LM, LB, LWB",72,2500000.0,193
194,233372,B. Merlini,"LM, LW, RM",72,2800000.0,194
195,233924,M. Lovera,"LM, CAM, ST",72,3800000.0,195
196,237248,G. Berterame,"LM, ST, RM",72,5500000.0,196
197,242571,C. Rotondi,"LM, LW",72,3200000.0,197
198,244628,B. Samudio,"LM, RM, ST",72,2900000.0,198
199,246145,I. Aliseda,"LM, CAM",72,5500000.0,199
200,246469,A. Urzi,"LM, CM, RM",72,5500000.0,200
201,246608,Fidalgo,"LM, CAM, CM",72,3700000.0,201
202,246929,Gerson Rodrigues,"LM, RM",72,2800000.0,202
203,251191,J. Allevinah,"LM, RM",72,2800000.0,203
204,254048,F. Waller,"LM, CM",72,3400000.0,204
205,255371,Marcos Paulo,"LM, ST",72,5500000.0,205
206,143745,A. Turan,"LM, RM, CM",71,875000.0,206
207,177537,N. Bertolo,"LM, LW, RM",71,775000.0,207
208,177922,K. Grosicki,LM,71,1200000.0,208
209,182411,Yu Hanchao,"LM, LW, RW",71,875000.0,209
210,192608,M. Barthelmé,"LM, RM",71,1500000.0,210
211,192938,Y. Ngbakoto,"LM, RM",71,1800000.0,211
212,196318,S. Gürler,"LM, RM, LW",71,1800000.0,212
213,202017,O. Hernández,LM,71,1900000.0,213
214,202035,N. Benezet,"LM, CAM",71,1800000.0,214
215,202101,O. John,"LM, LW",71,1800000.0,215
216,202940,N. Kebano,"LM, LW",71,1800000.0,216
217,203965,V. Fischer,"LM, LW",71,2000000.0,217
218,204684,M. Seuntjens,"LM, ST",71,1800000.0,218
219,205295,H. Soudani,"LM, RM, ST",71,1200000.0,219
