,sofifa_id,short_name,player_positions,overall,value_eur,id
0,190871,Neymar Jr,"LW, CAM",91,129000000.0,0
1,208722,S. Mané,LW,89,101000000.0,1
2,202652,R. Sterling,"LW, RW",88,107500000.0,2
3,198219,L. Insigne,"LW, CF",86,65500000.0,3
4,183277,E. Hazard,LW,85,52000000.0,4
5,230142,Oyarzabal,"LW, RW",85,77500000.0,5
6,199434,D. Tadić,"LW, CF, CAM",84,33500000.0,6
7,206517,J. Grealish,"LW, LM, CAM",84,50500000.0,7
8,205632,L. Ocampos,"LW, RW",83,39500000.0,8
9,224458,Diogo Jota,"LW, ST",82,46000000.0,9
10,227796,C. Pulisic,"LW, RW, LM",82,49000000.0,10
11,139068,Nani,"LW, LM",81,12000000.0,11
12,241852,M. Diaby,"LW, RW",81,52500000.0,12
13,177388,D. Payet,"LW, CAM",80,10000000.0,13
14,238794,Vinícius Jr.,LW,80,46500000.0,14
15,190813,S. El Shaarawy,"LW, LM",79,17500000.0,15
16,220253,Munir,"LW, RW, ST",79,21000000.0,16
17,224069,K. Toko Ekambi,"LW, ST",78,14000000.0,17
18,224254,C. Pavón,"LW, RW, LM",78,18500000.0,18
19,226766,Daniel Podence,"LW, RW, CAM",78,18500000.0,19
20,227890,Nuno Santos,"LW, RW",78,16500000.0,20
21,230385,Albertinho Dutra,"LW, LM",78,14000000.0,21
22,230460,Prazeracinho,LW,78,16500000.0,22
23,238616,Pedro Neto,"LW, RW",78,28500000.0,23
24,239380,N. Lang,"LW, RW, CAM",78,28500000.0,24
25,244193,Jovane Cabral,"LW, RW",78,31000000.0,25
26,177326,M. Valbuena,"LW, CAM",77,3400000.0,26
27,213013,F. Acheampong,"LW, ST",77,11000000.0,27
28,217877,T. Bongonda,"LW, CF",77,13000000.0,28
29,224422,J. Boga,"LW, LM",77,16500000.0,29
30,238896,Pepê,"LW, RW",77,16000000.0,30
31,241721,Rafael Leão,"LW, ST, LM",77,16000000.0,31
32,241771,A. Nwakaeme,"LW, LM",77,8500000.0,32
33,170733,Gervinho,"LW, RW",76,3500000.0,33
34,186200,F. Borini,"LW, LM, CF",76,7000000.0,34
35,222461,Rochinha,"LW, RW",76,9000000.0,35
36,228747,O. Idrissi,LW,76,10000000.0,36
37,236276,A. Danjuma,"LW, LM, ST",76,11000000.0,37
38,241907,D. Rossi,"LW, ST, RW",76,16500000.0,38
39,253004,Ansu Fati,LW,76,17500000.0,39
40,188268,L. Acosta,"LW, RW, LM",75,3500000.0,40
41,189485,Diego Farías,"LW, CF, ST",75,4700000.0,41
42,205855,M. Livaja,"LW, CAM, ST",75,6000000.0,42
43,209782,S. Larsson,"LW, ST",75,5500000.0,43
44,215103,É. Puch,"LW, LM",75,2300000.0,44
45,215202,L. Janson,"LW, ST",75,6000000.0,45
46,220633,D. Gray,"LW, RW, CAM",75,7500000.0,46
47,224218,F. Kamano,"LW, LM, ST",75,7500000.0,47
48,229593,M. Pjaca,"LW, RW, CAM",75,6500000.0,48
49,229764,Córdoba,"LW, LM",75,9000000.0,49
50,230975,D. Vergara,"LW, RM, RW",75,7500000.0,50
51,231836,J. Karlsson,LW,75,11500000.0,51
52,233500,L. Sinisterra,"LW, RW",75,11500000.0,52
53,251470,C. De Ketelaere,"LW, CAM, ST",75,12500000.0,53
54,261204,M. Uzuni,"LW, CAM",75,6000000.0,54
55,203872,G. Hauche,"LW, LM, RW",74,2000000.0,55
56,211099,O. Nguette,"LW, RW, ST",74,4600000.0,56
57,231436,G. Diangana,"LW, LM, RW",74,9500000.0,57
58,237539,L. Singh,"LW, RW",74,6500000.0,58
59,246672,Barrenetxea,"LW, ST, RW",74,9000000.0,59
60,189446,J. Stanislas,"LW, LM, RW",73,2500000.0,60
61,199912,S. Kittel,"LW, CAM",73,3100000.0,61
62,203903,L. Andersen,"LW, ST",73,3300000.0,62
63,212456,A. Hurtado,"LW, ST, RW",73,1400000.0,63
64,213750,K. Sema,"LW, LM, LWB",73,3200000.0,64
65,227939,J. Kouassi,"LW, LM, ST",73,3600000.0,65
66,229556,Allano,"LW, RW",73,3600000.0,66
67,230462,Thio Rolim,"LW, LM",73,3400000.0,67
68,255565,K. Mitoma,"LW, LM",73,4600000.0,68
69,192537,M. Lestienne,"LW, RW, LM",72,2300000.0,69
70,205365,J. Kopic,"LW, RW",72,1900000.0,70
71,205601,C. Atsu,"LW, RW",72,2300000.0,71
72,212196,P. Sisto,"LW, LM",72,2800000.0,72
73,216682,D. Hotto,"LW, ST, RW",72,2300000.0,73
74,224013,Sergi Canós,"LW, LWB, RWB",72,3400000.0,74
75,227633,B. Ramselaar,"LW, CM, CAM",72,3100000.0,75
76,230510,Vicemte Tófoli,LW,72,2600000.0,76
77,234376,Lourency,"LW, RW",72,3100000.0,77
78,238274,F. Coman,"LW, ST",72,4700000.0,78
79,253274,G. Rodríguez,"LW, ST, LM",72,2300000.0,79
80,256035,K. Sulemana,"LW, ST",72,5500000.0,80
81,256136,F. Torres,"LW, CAM, RW",72,5500000.0,81
82,257025,K. de la Fuente,"LW, RW",72,5000000.0,82
83,198193,R. Mak,"LW, RW, CAM",71,1800000.0,83
84,204737,Salvador Agra,"LW, RW",71,1800000.0,84
85,216483,T. Fosu,"LW, RW, CAM",71,2400000.0,85
86,217007,M. Thiam,"LW, ST",71,1900000.0,86
87,220649,S. Vecchia,"LW, RW",71,2000000.0,87
88,224874,A. Pellegrino,LW,71,1600000.0,88
89,230470,Pedrildo Rocha,"LW, LM",71,1800000.0,89
90,230474,Macarinho Louro,"LW, LM",71,2200000.0,90
91,232148,D. Sallói,"LW, ST",71,2400000.0,91
92,233795,B. Brereton Díaz,"LW, RW, ST",71,4200000.0,92
93,234180,A. Hohberg,"LW, CAM",71,1800000.0,93
94,241162,J. Paintsil,"LW, LM",71,3800000.0,94
95,241362,Š. Falta,"LW, LM, LB",71,1900000.0,95
96,205214,Z. Tripić,"LW, LM",70,1600000.0,96
97,208581,Z. Bytyqi,"LW, RW, LM",70,2200000.0,97
98,209449,Gerso,"LW, RW",70,1500000.0,98
99,223553,Serginho,"LW, LM, ST",70,525000.0,99
100,226278,Xavier,"LW, RW",70,1600000.0,100
101,237502,D. Johnsen,LW,70,2300000.0,101
102,241474,J. Þorsteinsson,"LW, ST",70,3600000.0,102
103,243401,André Vidigal,"LW, RW",70,3600000.0,103
104,243792,Iñigo Vicente,"LW, LM",70,3500000.0,104
105,246431,R. Sottil,"LW, LM, RW",70,3900000.0,105
106,248060,V. Mihăilă,LW,70,2600000.0,106
107,258942,O. Popescu,"LW, RW",70,3700000.0,107
108,261307,V. Birmančević,LW,70,3500000.0,108
109,188397,R. Rodelin,"LW, CAM",69,1200000.0,109
110,193728,D. Wotherspoon,"LW, CM",69,1200000.0,110
111,198731,E. Rashani,"LW, RW, LM",69,1400000.0,111
112,201967,G. Wikheim,"LW, LM",69,1400000.0,112
113,211240,J. Lopez,"LW, LM, RM",69,1400000.0,113
114,213694,K. Gorré,LW,69,1600000.0,114
115,224890,Miguel Cardoso,"LW, RW, ST",69,1500000.0,115
116,229209,J. Benítez,"LW, LM",69,1400000.0,116
117,229466,C. Martínez,"LW, LM, ST",69,1400000.0,117
118,230473,Hedson Porfírio,"LW, LM, CAM",69,1500000.0,118
119,231614,F. Reese,"LW, RW, ST",69,2100000.0,119
120,242166,A. Layouni,LW,69,1400000.0,120
121,244602,O. Boussaid,"LW, CAM",69,3100000.0,121
122,246459,M. Daramy,"LW, ST, RW",69,3300000.0,122
123,252580,P. Mukairu,"LW, RW, ST",69,3100000.0,123
124,258698,Afonso Sousa,"LW, CAM",69,3400000.0,124
125,259789,K. Zenón,"LW, RM, LM",69,3100000.0,125
126,260040,F. Vargas,"LW, LM, ST",69,3100000.0,126
127,179633,S. Rieks,LW,68,575000.0,127
128,190139,Adaílton,"LW, ST, LM",68,1200000.0,128
129,203447,A. Schalk,"LW, ST",68,1200000.0,129
130,205481,M. Bennett,"LW, RW, ST",68,1600000.0,130
131,205631,C. Insaurralde,"LW, ST",68,1200000.0,131
132,215195,S. Svendsen,"LW, ST",68,1700000.0,132
133,221197,F. Onyedinma,"LW, LWB, LM",68,1700000.0,133
134,222513,R. Aarons,"LW, RW, LM",68,1600000.0,134
135,223128,B. Şimşek,"LW, CF",68,1400000.0,135
136,223857,O. Salinas,"LW, ST, RW",68,750000.0,136
137,223938,K. Hazard,"LW, RW",68,1400000.0,137
138,227547,D. Saint-Louis,"LW, RW",68,1400000.0,138
139,227630,C. Kirk,"LW, LM",68,1900000.0,139
140,233141,T. Hasegawa,"LW, LM",68,1300000.0,140
141,233178,M. Köhlert,"LW, RW",68,1900000.0,141
142,233565,J. Koroma,"LW, ST",68,2700000.0,142
143,234929,Gleison,"LW, RW",68,1400000.0,143
144,237380,H. Keyta,"LW, ST, LM",68,1400000.0,144
145,237435,R. Meshino,"LW, ST",68,2700000.0,145
146,239493,M. Baku,"LW, RW",68,2700000.0,146
147,239496,Y. Fekir,"LW, RW, CAM",68,1900000.0,147
148,240032,D. González,"LW, ST, RW",68,1300000.0,148
149,241632,B. Garré,"LW, RW, RM",68,2600000.0,149
150,242448,André Silva,"LW, ST",68,1900000.0,150
151,244143,V. Costache,"LW, RW",68,2700000.0,151
152,262932,Henrique,LW,68,1300000.0,152
153,263389,M. Mimaroğlu,"LW, ST",68,1300000.0,153
154,202559,Y. Orozco,"LW, CAM, RW",67,975000.0,154
155,202855,Tan Long,"LW, LM",67,625000.0,155
156,211742,M. Lorenz,"LW, LM",67,800000.0,156
