,sofifa_id,short_name,player_positions,overall,value_eur,id
0,202884,L. Spinazzola,"LWB, LB, LM",83,33000000.0,0
1,220651,Angeliño,"LWB, LM",83,46000000.0,1
2,223697,R. Gosens,"LWB, LB, LM",83,36000000.0,2
3,229984,B. Chilwell,"LWB, LB",82,40500000.0,3
4,230256,Adryan Zonta,"LWB, LB",81,22500000.0,4
5,210455,Jonny,"LWB, RWB",80,22000000.0,5
6,192638,Marcos Alonso,"LWB, LB",79,15000000.0,6
7,152908,A. Young,"LWB, LB",78,4300000.0,7
8,173306,C. Ansaldi,"LWB, LB, LM",78,5000000.0,8
9,252145,Nuno Mendes,"LWB, LB, LM",78,29000000.0,9
10,212491,A. Masuaku,"LWB, LB",77,11000000.0,10
11,231554,J. Justin,"LWB, LB",77,15500000.0,11
12,243388,B. Sosa,"LWB, LM",77,15000000.0,12
13,201389,C. Biraghi,"LWB, LB, LM",76,7000000.0,13
14,203741,T. Delaine,"LWB, LB, RB",76,6500000.0,14
15,226268,F. Dimarco,"LWB, LB, CB",76,10500000.0,15
16,206594,S. March,"LWB, RW, RM",75,6000000.0,16
17,235172,Rúben Vinagre,"LWB, LB",75,12000000.0,17
18,235883,R. Sessegnon,"LWB, LM, LB",75,12000000.0,18
19,186395,M. Ritchie,LWB,74,3100000.0,19
20,192546,E. Stevens,LWB,74,3600000.0,20
21,222875,J. Kayembe,"LWB, LB, LW",74,4500000.0,21
22,201955,M. Haïdara,"LWB, CB, LB",73,2800000.0,22
23,224423,M. Wittek,"LWB, LB",73,3700000.0,23
24,242641,R. Aït Nouri,"LWB, LB",73,6500000.0,24
25,192156,Rúben Lima,"LWB, CB",72,1700000.0,25
26,193185,S. Malone,"LWB, LB",72,2000000.0,26
27,196952,J. Bidwell,"LWB, LB",72,2100000.0,27
28,203751,C. Townsend,"LWB, LB",72,2100000.0,28
29,210985,B. Osborn,"LWB, CM",72,2500000.0,29
30,226012,R. Manning,"LWB, LB",72,3000000.0,30
31,242429,L. Cacace,"LWB, LB, LM",72,4900000.0,31
32,204215,A. Reach,"LWB, CM, RW",71,1700000.0,32
33,206086,H. Toffolo,"LWB, LB",71,2300000.0,33
34,212282,I. Sylla,"LWB, LB",71,1800000.0,34
35,220493,A. Barreca,"LWB, LB, LM",71,2100000.0,35
36,234087,C. Styles,"LWB, CM",71,4000000.0,36
37,237211,Yuri Ribeiro,"LWB, LB",71,2600000.0,37
38,254470,L. Thomas,"LWB, LB",71,3900000.0,38
39,257713,G. Frabotta,"LWB, LB, LM",71,4000000.0,39
40,186651,G. Vural,"LWB, CM",70,825000.0,40
41,198190,G. Cunningham,"LWB, LB",70,1400000.0,41
42,211272,C. Corvalán,"LWB, CB, LB",70,1100000.0,42
43,237512,G. Togni,"LWB, LW, LM",70,2400000.0,43
44,246155,S. McCallum,"LWB, LB",70,3300000.0,44
45,163619,J. Hayes,"LWB, LM, LB",69,725000.0,45
46,179899,A. Skúlason,"LWB, LB, LM",69,500000.0,46
47,194726,J. Ahlmann,"LWB, LM, LB",69,1200000.0,47
48,208806,M. Fox,"LWB, LB, CB",69,1500000.0,48
49,215938,M. Dal Hende,"LWB, LM, LB",69,1200000.0,49
50,243608,R. Giles,"LWB, LW",69,3000000.0,50
51,202528,J. Ruffels,"LWB, LB",68,1200000.0,51
52,202864,N. Peñailillo,"LWB, LB",68,1100000.0,52
53,212483,J. Obiang,"LWB, LB",68,1200000.0,53
54,240773,R. Norrington-Davies,"LWB, LB",68,2600000.0,54
55,244661,Vitinho,"LWB, LB, RWB",68,2600000.0,55
56,254258,Nilton Varela,LWB,68,2500000.0,56
57,164766,L. Wallace,"LWB, LB",67,525000.0,57
58,182694,J. Mattock,"LWB, LB",67,750000.0,58
59,184229,J. Thomassen,"LWB, LB",67,525000.0,59
60,210389,B. Smith,"LWB, LB, LM",67,1100000.0,60
61,222798,Jeong Woo Jae,"LWB, LB, RB",67,900000.0,61
62,225996,E. Janža,"LWB, LB",67,925000.0,62
63,232759,J. Tymon,"LWB, LB, LM",67,2200000.0,63
64,233476,B. Riveros,"LWB, LB",67,2200000.0,64
65,235166,M. Jeahze,"LWB, LM",67,1500000.0,65
