,sofifa_id,short_name,player_positions,overall,value_eur,id
0,231281,T. Alexander-Arnold,RB,87,114000000.0,0
1,210514,João Cancelo,"RB, LB",86,71500000.0,1
2,188377,K. Walker,RB,85,39000000.0,2
3,204963,Carvajal,RB,85,47500000.0,3
4,235212,A. Hakimi,"RB, RWB",85,69500000.0,4
5,146536,Jesús Navas,"RB, RM",84,13000000.0,5
6,186345,K. Trippier,"RB, RWB, RM",84,36500000.0,6
7,210243,Ricardo Pereira,"RB, RM",84,40500000.0,7
8,193082,J. Cuadrado,"RB, RM",83,19000000.0,8
9,229880,A. Wan-Bissaka,RB,83,48500000.0,9
10,193525,Mário Fernandes,RB,82,26500000.0,10
11,233096,D. Dumfries,RB,82,35000000.0,11
12,199304,Danilo,"RB, LB, CB",81,22500000.0,12
13,199564,Sergi Roberto,"RB, CM, RM",81,22500000.0,13
14,203551,A. Florenzi,"RB, RWB",81,22000000.0,14
15,172522,D. Wass,"RB, RM, CM",80,14500000.0,15
16,203890,Š. Vrsaljko,"RB, RM",80,18500000.0,16
17,216189,Capa,RB,80,18500000.0,17
18,217870,G. Di Lorenzo,RB,80,20500000.0,18
19,223724,S. Lainer,RB,80,19000000.0,19
20,230201,Maikel Catarino,"RB, RM",80,21000000.0,20
21,236401,N. Mazraoui,RB,80,29500000.0,21
22,244470,V. Coufal,"RB, RWB",80,19000000.0,22
23,192789,Mario Gaspar,RB,79,15000000.0,23
24,204259,S. Arias,RB,79,15500000.0,24
25,210625,K. Mbabu,RB,79,21000000.0,25
26,211241,Rubén Peña,"RB, RM, LB",79,15500000.0,26
27,219789,H. Traoré,RB,79,15500000.0,27
28,222501,T. Castagne,"RB, RM",79,21500000.0,28
29,223597,R. Aguilar,RB,79,16000000.0,29
30,224490,Z. Çelik,RB,79,22000000.0,30
31,226851,B. Pavard,"RB, CB",79,21500000.0,31
32,230216,Adnan Vidual,RB,79,15500000.0,32
33,234035,Odriozola,RB,79,21500000.0,33
34,247204,Emerson,RB,79,25000000.0,34
35,180216,S. Coleman,RB,78,9500000.0,35
36,192045,L. Rodríguez,RB,78,12000000.0,36
37,198657,J. Svensson,RB,78,12500000.0,37
38,201042,D. Sidibé,"RB, CB",78,12500000.0,38
39,201417,M. Doherty,"RB, RWB",78,12500000.0,39
40,203747,Héctor Bellerín,"RB, RWB",78,17000000.0,40
41,203843,D. Suárez,RB,78,7500000.0,41
42,208364,Clinton Mata,"RB, CB",78,12500000.0,42
43,216643,L. Dubois,RB,78,15000000.0,43
44,227174,M. Cash,RB,78,20000000.0,44
45,228881,D. Calabria,RB,78,18000000.0,45
46,230206,Wellington Sabrão,"RB, LB",78,7500000.0,46
47,230360,Everticinho,"RB, RM, CM",78,15000000.0,47
48,231340,G. Montiel,"RB, RWB",78,21000000.0,48
49,183353,Víctor Díaz,"RB, CB",77,5500000.0,49
50,190149,De Marcos,"RB, RM, RW",77,7500000.0,50
51,194022,André Almeida,RB,77,9000000.0,51
52,194229,Hugo Mallo,"RB, RWB",77,9000000.0,52
53,195479,J. Tavernier,RB,77,9500000.0,53
54,202371,T. Meunier,"RB, RM",77,9500000.0,54
55,202493,Aleix Vidal,"RB, RM, LM",77,7500000.0,55
56,203177,D. Foulquier,"RB, RM, LB",77,9500000.0,56
57,210282,Bruno Peres,"RB, RWB, LB",77,7500000.0,57
58,220132,Zaldúa,RB,77,9500000.0,58
59,227927,K. Walker-Peters,RB,77,15000000.0,59
