,sofifa_id,short_name,player_positions,overall,value_eur,id
0,233049,J. Sancho,"RM, CF, LM",87,116500000.0,0
1,206113,S. Gnabry,"RM, LM, RW",85,64500000.0,1
2,222492,L. Sané,"RM, LM",84,56000000.0,2
3,173731,G. Bale,"RM, RW",82,25000000.0,3
4,193165,J. Corona,"RM, RB, RW",82,30500000.0,4
5,216547,Rafa,"RM, LM",82,30500000.0,5
6,229906,L. Bailey,"RM, RW, LW",82,41500000.0,6
7,233419,Raphinha,"RM, RW",82,46000000.0,7
8,45186,Joaquín,"RM, LM",81,8500000.0,8
9,200949,Lucas Moura,"RM, CF",81,26000000.0,9
10,205678,E. Višća,"RM, RW",81,21500000.0,10
11,216409,M. Politano,"RM, RW",81,27500000.0,11
12,226110,N. Pépé,"RM, RW",81,30500000.0,12
13,185020,José Callejón,"RM, RW",80,10000000.0,13
14,190972,E. Salvio,"RM, RW",80,20500000.0,14
15,219953,Embarba,"RM, LM, ST",80,20500000.0,15
16,225201,Álex Berenguer,"RM, LM",80,25000000.0,16
17,240709,R. Baku,"RM, RB, CM",80,32000000.0,17
18,244369,V. Tsygankov,RM,80,33500000.0,18
19,246669,B. Saka,"RM, LM, LB",80,45500000.0,19
20,173221,A. Candreva,"RM, RWB",79,8000000.0,20
21,203299,A. Carrillo,RM,79,17000000.0,21
22,226162,E. Buendía,RM,79,26500000.0,22
23,234612,J. Ikoné,"RM, ST",79,25000000.0,23
24,170368,E. Lamela,"RM, CAM",78,14000000.0,24
25,172962,V. Moses,"RM, RWB",78,13500000.0,25
26,175379,Pedro León,"RM, LM",78,6500000.0,26
27,206651,Roberto Torres,"RM, LM, CM",78,11000000.0,27
28,210372,R. Ghezzal,RM,78,14000000.0,28
29,213577,Puertas,"RM, LM",78,14000000.0,29
30,222558,R. Karsdorp,"RM, RB",78,16500000.0,30
31,223053,Á. Mena,"RM, RW",78,9000000.0,31
32,224371,J. Bowen,"RM, ST",78,21000000.0,32
33,227055,Gelson Martins,"RM, LM, RW",78,16500000.0,33
34,230406,Guilson Paiva,"RM, RW",78,15500000.0,34
35,243559,De Frutos,"RM, LM",78,22000000.0,35
36,246147,M. Greenwood,"RM, ST",78,30500000.0,36
37,183899,P. Piatti,"RM, LM, LW",77,8500000.0,37
38,188103,Rochina,"RM, CM, CAM",77,10000000.0,38
39,194932,A. Townsend,"RM, RW",77,10500000.0,39
40,197083,D. Caligiuri,"RM, RWB, CM",77,6500000.0,40
41,202282,S. Armstrong,"RM, CM",77,10500000.0,41
42,207948,B. Traoré,"RM, RW",77,12500000.0,42
43,211147,V. Lazaro,"RM, RB",77,14000000.0,43
44,213655,A. Iwobi,"RM, LW",77,13000000.0,44
45,224574,O. Pineda,"RM, RW, CM",77,14000000.0,45
46,232104,D. James,"RM, LM",77,16000000.0,46
47,234128,Luiz Araújo,"RM, LM",77,14000000.0,47
48,234772,Salvi Sánchez,RM,77,10000000.0,48
49,235889,C. Ünder,"RM, RW",77,13500000.0,49
50,236593,C. Stengs,"RM, CAM",77,21500000.0,50
51,246172,S. Chukwueze,"RM, RW, CF",77,23500000.0,51
52,254796,N. Madueke,"RM, ST",77,23000000.0,52
53,152916,R. Sambueza,"RM, CAM, RW",76,2400000.0,53
54,164859,T. Walcott,RM,76,6000000.0,54
55,183130,M. Albrighton,"RM, RWB",76,6000000.0,55
56,194794,A. Yarmolenko,"RM, RW, ST",76,6000000.0,56
57,207715,N. López,"RM, CAM, ST",76,8000000.0,57
58,208621,Óscar Plano,"RM, LM",76,7000000.0,58
59,209039,D. Moberg Karlsson,"RM, CF",76,8000000.0,59
60,211108,Fei Nanduo,"RM, LW, CAM",76,7500000.0,60
61,214491,L. Quiñones,"RM, LM",76,7000000.0,61
62,230425,Rubem Esteiro,"RM, CM",76,4700000.0,62
63,231390,Diogo Gonçalves,"RM, RWB",76,12000000.0,63
64,231416,D. Lukébakio,"RM, ST",76,11500000.0,64
65,232498,Isi,"RM, LM, CAM",76,8000000.0,65
66,232639,R. Doan,"RM, CAM",76,12000000.0,66
67,233959,S. Villa,"RM, LW, LM",76,10000000.0,67
68,234171,R. Sallai,"RM, CF",76,10000000.0,68
69,235944,Brais Méndez,"RM, CM, ST",76,12000000.0,69
70,237043,R. Alvarado,"RM, LM, CAM",76,15000000.0,70
71,238227,K. Diatta,RM,76,15000000.0,71
72,243007,L. Masopust,"RM, RB",76,7500000.0,72
73,246708,G. Masouras,"RM, RW, LW",76,8000000.0,73
74,246791,M. Solomon,"RM, LM, CAM",76,17000000.0,74
75,247641,Tete,RM,76,17000000.0,75
76,184881,S. Feghouli,"RM, CM, RW",75,4700000.0,76
77,191076,J. Guðmundsson,"RM, LM",75,5500000.0,77
78,192667,A. Nyom,"RM, LB, RB",75,3500000.0,78
79,193133,J. Larsen,RM,75,5500000.0,79
80,200630,J. Forrest,"RM, LM",75,5500000.0,80
81,209781,P. Capelle,"RM, CM, LB",75,2600000.0,81
82,213666,R. Loftus-Cheek,"RM, CAM",75,7500000.0,82
83,214132,Y. Chará,"RM, LM, CM",75,5500000.0,83
84,215449,R. Skov,"RM, LWB, LB",75,7500000.0,84
85,219686,Carlos Júnior,"RM, ST, LM",75,6500000.0,85
86,220876,F. Honorat,"RM, LM",75,7500000.0,86
87,224425,M. Wolf,"RM, RB, RWB",75,6500000.0,87
88,226078,Trezeguet,"RM, RW, LM",75,6500000.0,88
89,230427,Elildo Petri,"RM, CAM",75,6000000.0,89
90,231280,Iván Alejo,"RM, LM",75,6500000.0,90
91,231612,R. Del Castillo,"RM, LM",75,7500000.0,91
92,231826,Y. Karamoh,"RM, RW",75,8000000.0,92
93,234913,C. Fassnacht,"RM, LM, CAM",75,6000000.0,93
94,237681,T. Kubo,"RM, CM, CAM",75,13500000.0,94
95,239795,C. Ekuban,"RM, CAM, ST",75,6000000.0,95
96,242577,R. Faivre,"RM, LM",75,12500000.0,96
97,245940,Silas,"RM, LM, ST",75,12500000.0,97
98,255472,Pedrinho,RM,75,9000000.0,98
99,186302,E. Hernández,"RM, RW",74,2600000.0,99
100,190653,I. Brizuela,"RM, RW, CAM",74,4100000.0,100
101,198077,P. Herrmann,"RM, RW",74,4100000.0,101
102,200438,Guilherme,"RM, CAM",74,4100000.0,102
103,203502,B. Decordova-Reid,"RM, ST",74,4200000.0,103
104,204738,R. Ibarra,"RM, RW",74,4100000.0,104
105,212911,Hernâni,"RM, LM",74,4100000.0,105
106,214971,F. Pizzini,RM,74,4500000.0,106
107,215107,H. Villalba,"RM, LM, RW",74,4600000.0,107
108,215531,D. Türüç,"RM, LM, CAM",74,4200000.0,108
109,221306,M. Barrios,"RM, RW",74,4100000.0,109
110,221743,Hélder Costa,"RM, RW, LM",74,4500000.0,110
111,225696,Murilo,"RM, LM",74,5000000.0,111
112,226385,C. Espinoza,RM,74,4600000.0,112
113,227274,D. Barbona,"RM, LM",74,5000000.0,113
114,230972,A. Ba Loua,"RM, LM",74,5500000.0,114
115,233265,R. Oudin,"RM, LM",74,6000000.0,115
116,233290,R. Zhemaletdinov,"RM, LM, CAM",74,6000000.0,116
117,233965,A. Castro-Montes,"RM, RB, RWB",74,6000000.0,117
118,237995,D. Lainez,"RM, CM, CAM",74,9500000.0,118
119,238068,M. Richter,"RM, CAM, LM",74,6000000.0,119
120,241867,Aitor Ruibal,"RM, ST, RWB",74,5500000.0,120
121,244197,Corpas,RM,74,4100000.0,121
122,152747,A. Lennon,"RM, LM",73,1400000.0,122
123,165531,I. Sosa,"RM, RW, LM",73,1400000.0,123
124,199737,Wilson Eduardo,"RM, LM, ST",73,2900000.0,124
125,202316,T. Chandler,"RM, RWB",73,2500000.0,125
126,204863,Iván Sánchez,"RM, LM, CM",73,3100000.0,126
127,211927,Kwon Chang Hoon,"RM, CF",73,3200000.0,127
128,212214,A. Solari,"RM, LM, CM",73,3000000.0,128
129,214207,F. Pardo,"RM, RW, CF",73,2900000.0,129
130,214434,M. Cuero,"RM, LM",73,3100000.0,130
131,215368,R. Ranftl,RM,73,3000000.0,131
132,215616,Jason,"RM, RW",73,3300000.0,132
133,217714,P. Arriola,"RM, CAM, RW",73,3600000.0,133
134,218311,J. Dossou,RM,73,3000000.0,134
135,219728,Edgar Méndez,"RM, LM",73,2500000.0,135
136,224428,J. Otero,"RM, ST, RW",73,3600000.0,136
137,224461,W. Montoya,"RM, RW, CM",73,3200000.0,137
138,225182,J. Barrera,"RM, CAM, RW",73,3600000.0,138
139,225200,Kike Barja,"RM, LM",73,4800000.0,139
140,226414,M. Coco,"RM, LM, RW",73,3800000.0,140
141,226539,Y. Namli,"RM, CAM",73,3200000.0,141
142,226604,D. Valoyes,"RM, ST, LM",73,4200000.0,142
143,226861,S. Thioub,"RM, LM, RW",73,3600000.0,143
144,226877,Ivo Rodrigues,"RM, LM",73,3600000.0,144
145,227884,B. Osayi-Samuel,"RM, RW",73,4800000.0,145
146,229667,Josan,"RM, RWB",73,2500000.0,146
147,230411,Brenito Duarte,RM,73,3000000.0,147
148,232610,T. Asano,"RM, LM, CF",73,3300000.0,148
149,234870,E. Karaca,"RM, CAM",73,2500000.0,149
150,235176,C. Bernardi,"RM, LM, CM",73,2500000.0,150
151,236518,A. Nordin,"RM, LM, ST",73,4600000.0,151
152,237109,O. Karavaev,"RM, RB",73,3000000.0,152
153,237223,J. Gressel,"RM, RWB, CAM",73,3200000.0,153
154,239045,E. Kılınç,"RM, CM, LM",73,3300000.0,154
155,240744,M. Ojeda,"RM, LM",73,4900000.0,155
156,241463,Dani Raba,"RM, CAM",73,4000000.0,156
157,241925,C. Führich,"RM, ST",73,4800000.0,157
158,243593,A. Laurienté,"RM, RW",73,6000000.0,158
159,244863,Y. Benrahou,"RM, CAM",73,4900000.0,159
160,257821,A. Ndao,"RM, RW",73,4600000.0,160
161,259377,Yeremy Pino,"RM, LM, ST",73,6500000.0,161
162,259816,A. Sima,"RM, ST",73,7500000.0,162
163,189468,Daniel Candeias,"RM, LM",72,1500000.0,163
164,193844,Portillo,"RM, LM",72,1900000.0,164
165,193860,T. Schick,"RM, RB, LM",72,1900000.0,165
166,194415,A. Quintero,"RM, RW, ST",72,1500000.0,166
167,199419,Y. Court,"RM, LM, CAM",72,1900000.0,167
168,202088,F. Klaus,"RM, LM",72,2400000.0,168
169,202994,Han Kyo Won,RM,72,1900000.0,169
170,204233,C. Musonda,"RM, LM",72,3200000.0,170
171,204526,Hervías,"RM, LM, RB",72,2400000.0,171
172,205212,David Ferreiro,"RM, LM, CM",72,1500000.0,172
173,206085,J. Murphy,"RM, RWB",72,2800000.0,173
174,207722,Cristiano,"RM, LM, ST",72,1100000.0,174
175,211527,Álex Gallar,"RM, ST, LM",72,2300000.0,175
176,211626,D. Kądzior,RM,72,2300000.0,176
177,212230,Iuri Medeiros,RM,72,2600000.0,177
178,213134,L. Öztunalı,"RM, RW, CM",72,2800000.0,178
179,213746,Arsénio,RM,72,1900000.0,179
180,214006,Y. Candelo,"RM, RB",72,2300000.0,180
181,221908,L. Morgan,"RM, RW",72,3400000.0,181
182,223017,Ö. Şahiner,"RM, RB, ST",72,2300000.0,182
183,223136,Y. Erdoğan,"RM, LM",72,2400000.0,183
184,225478,Serginho,"RM, ST, CM",72,2500000.0,184
185,228171,C. Ikonomidis,"RM, ST",72,2800000.0,185
186,229179,C. Tabó,"RM, LM",72,2500000.0,186
187,229658,C. Dájome,"RM, LM, CF",72,2500000.0,187
