,sofifa_id,short_name,player_positions,overall,value_eur,id
0,158023,L. Messi,"RW, ST, CF",93,78000000.0,0
1,209331,M. Salah,RW,89,101000000.0,1
2,183898,Á. Di María,"RW, LW",87,49500000.0,2
3,204485,R. Mahrez,"RW, RM",86,65500000.0,3
4,208670,H. Ziyech,"RW, CAM",84,42500000.0,4
5,169416,C. Vela,"RW, LW, CAM",83,29000000.0,5
6,220834,Marco Asensio,"RW, LW",83,48000000.0,6
7,231443,O. Dembélé,RW,83,55000000.0,7
8,235805,F. Chiesa,"RW, LW, RM",83,80500000.0,8
9,202651,Suso,RW,82,32500000.0,9
10,205070,Portu,"RW, RM, LW",82,30000000.0,10
11,210935,D. Berardi,"RW, RM",82,33500000.0,11
12,241461,Ferran Torres,"RW, ST",82,68500000.0,12
13,198710,J. Rodríguez,"RW, CAM, CM",81,25500000.0,13
14,200260,S. Berghuis,RW,81,25500000.0,14
15,208330,A. Januzaj,"RW, RM",81,28000000.0,15
16,208618,Lucas Vázquez,"RW, RB, RM",81,25000000.0,16
17,221992,H. Lozano,"RW, LW",81,31000000.0,17
18,240950,Pedro Gonçalves,"RW, CM",81,51500000.0,18
19,247394,D. Kulusevski,"RW, CF",81,58000000.0,19
20,198950,Pablo Sarabia,"RW, CAM",80,20500000.0,20
21,204970,F. Thauvin,"RW, RM",80,21000000.0,21
22,193348,X. Shaqiri,"RW, RM",79,17000000.0,22
23,202857,K. Bellarabi,"RW, RM",79,14500000.0,23
24,236632,David Neres,"RW, LW",79,25000000.0,24
25,243812,Rodrygo,RW,79,38500000.0,25
26,255475,Antony,RW,79,39500000.0,26
27,213956,Adama Traoré,"RW, RWB",78,18500000.0,27
28,215590,Ayoze Pérez,"RW, RM",78,15000000.0,28
29,235353,I. Sarr,"RW, RM, ST",78,31000000.0,29
30,20775,Quaresma,"RW, LW",77,3400000.0,30
31,210617,Samu Castillejo,"RW, RM",77,11500000.0,31
32,230717,T. Kadewere,"RW, ST",77,14000000.0,32
33,232905,J. Ito,"RW, CF",77,10500000.0,33
34,240740,C. Hudson-Odoi,"RW, LW",77,23000000.0,34
35,246420,J. Doku,"RW, RM",77,23000000.0,35
36,212692,Rony Lopes,"RW, LW, RM",76,9500000.0,36
37,212715,S. Palacios,"RW, LW",76,7500000.0,37
38,220196,D. Brooks,"RW, RM",76,12000000.0,38
39,220746,A. Živković,"RW, LW, RM",76,9500000.0,39
40,235619,M. Edwards,RW,76,17000000.0,40
41,242664,A. Saelemaekers,"RW, RM",76,11500000.0,41
42,244778,Trincão,"RW, RM",76,17000000.0,42
43,185068,J. Russell,RW,75,4700000.0,43
44,196069,J. Fuenzalida,"RW, RB, RM",75,1800000.0,44
45,203038,Lucas Piazón,"RW, CAM, CF",75,6000000.0,45
46,211267,R. Centurión,"RW, CAM, LW",75,5500000.0,46
47,215443,P. Zinckernagel,"RW, RM, CM",75,6500000.0,47
48,216700,M. Meza,"RW, CAM, LM",75,5500000.0,48
49,218868,A. Silva,"RW, RM",75,4700000.0,49
50,225363,Rúben Lameiras,"RW, LW",75,6500000.0,50
51,225653,G. Kerk,"RW, ST",75,7000000.0,51
52,226627,T. Minamino,"RW, ST, LM",75,6500000.0,52
53,229153,L. García,"RW, LW",75,8500000.0,53
54,238858,Bruno Tabata,"RW, LW",75,9000000.0,54
55,240654,Carles Pérez,"RW, CF",75,9000000.0,55
56,246191,J. Álvarez,"RW, CF",75,12500000.0,56
57,183332,F. Bartels,"RW, LW, CF",74,2000000.0,57
58,205970,J. Wallace,"RW, ST, RM",74,4500000.0,58
59,206254,M. Stevanović,"RW, RM",74,4100000.0,59
60,225844,D. Verde,"RW, LW, ST",74,5500000.0,60
61,231242,A. Ounas,"RW, RM, CAM",74,6000000.0,61
62,231777,A. Ömür,"RW, CAM, RM",74,8500000.0,62
63,232709,D. Batallini,"RW, LW, RM",74,5500000.0,63
64,235047,J. Menéndez,"RW, LW",74,4500000.0,64
65,239048,H. Akbunar,"RW, LW",74,4500000.0,65
66,239978,D. Man,RW,74,9500000.0,66
67,243014,B. Mbeumo,"RW, ST, CF",74,9500000.0,67
68,246045,P. De la Vega,"RW, LW, RM",74,10000000.0,68
69,247181,G. Plata,RW,74,9500000.0,69
70,256632,Luis Henrique,"RW, LM",74,9000000.0,70
71,155946,R. Snodgrass,"RW, RM, CM",73,1900000.0,71
72,188166,M. Phillips,"RW, RM",73,2900000.0,72
73,201971,A. Ienaga,"RW, CAM, RM",73,1200000.0,73
74,215871,A. Jahanbakhsh,RW,73,3200000.0,74
75,228738,J. Murillo,"RW, RWB",73,4000000.0,75
76,229128,T. Lorch,"RW, LW, CF",73,3200000.0,76
77,230456,Claudiosa Paes,RW,73,1900000.0,77
78,230493,Fabri Arnoia,"RW, CF",73,3000000.0,78
79,231864,M. van Bergen,"RW, LW",73,4900000.0,79
80,246174,H. Elliott,"RW, CM",73,7000000.0,80
81,246423,L. Orellano,RW,73,7000000.0,81
82,247045,J. Kayamba,"RW, RM, LW",73,3000000.0,82
83,251570,R. Cherki,"RW, LW",73,7000000.0,83
84,253293,B. Ocampo,"RW, LW, RM",73,7000000.0,84
85,184089,M. Carcela-González,"RW, RM, CAM",72,1900000.0,85
86,189945,Y. Ravet,"RW, RM",72,1900000.0,86
87,208277,O. Boumal,"RW, LW",72,1900000.0,87
88,211672,T. Boyd,"RW, LW",72,2800000.0,88
89,213302,I. Tajouri-Shradi,"RW, RM",72,2500000.0,89
90,216749,Carlos Mané,"RW, LW",72,2500000.0,90
91,218744,J. Byrne,"RW, CAM, RM",72,3100000.0,91
92,226086,Á. González,"RW, ST, RM",72,2500000.0,92
93,230477,Dersan Dinis,RW,72,2300000.0,93
94,230665,Gustavo Sauer,"RW, CM",72,2400000.0,94
95,231448,R. Nelson,RW,72,5500000.0,95
96,234640,B. Jatta,"RW, LW, RM",72,3400000.0,96
97,239755,S. Lobjanidze,"RW, LW",72,2800000.0,97
98,243851,V. Pule,"RW, LW, CAM",72,2300000.0,98
99,189338,J. Urretaviscaya,"RW, RM",71,1600000.0,99
100,191032,G. Töre,"RW, CF",71,1800000.0,100
101,195033,M. Leckie,"RW, LW",71,1800000.0,101
102,198136,A. Ragusa,"RW, LW",71,1600000.0,102
103,203725,V. Misidjan,"RW, LW",71,2000000.0,103
104,204908,D. Ndongala,"RW, RM",71,1800000.0,104
105,216860,V. Černý,"RW, LW",71,2700000.0,105
106,230451,Dinei Peixo,"RW, RM",71,2100000.0,106
107,232255,A. Bouzat,"RW, LW",71,2000000.0,107
108,236696,A. Chatzigiovanis,"RW, LW, RM",71,3000000.0,108
109,237055,O. Zubkov,"RW, CAM",71,2600000.0,109
110,239446,Hélder Ferreira,"RW, LW",71,3000000.0,110
111,242162,H. Evjen,"RW, CM",71,4200000.0,111
112,243055,Rafael Camacho,"RW, LW",71,4200000.0,112
113,243061,Lee Dong Jun,"RW, RM",71,3000000.0,113
114,259265,M. Batna,"RW, RM",71,1600000.0,114
115,198394,A. Kačaniklić,"RW, RM",70,1600000.0,115
116,201266,K. Kusk,"RW, ST, RM",70,1600000.0,116
117,202530,Álvaro Rey,"RW, LW",70,1300000.0,117
118,222724,B. Manuel,"RW, LW, RM",70,2400000.0,118
119,223790,S. Becker,RW,70,1900000.0,119
120,224187,M. Rayhi,"RW, ST, LW",70,1700000.0,120
121,225305,S. Gümüş,"RW, ST, LW",70,1700000.0,121
122,225785,C. Willock,"RW, ST, RM",70,3200000.0,122
123,225956,B. Akintola,"RW, LW, RM",70,2100000.0,123
124,230454,Leôncio Lobeiro,"RW, RM",70,1900000.0,124
125,231433,Aitor,"RW, RM",70,2000000.0,125
126,236747,L. González,"RW, CAM",70,1500000.0,126
127,239186,Aylton Boa Morte,"RW, LW",70,1700000.0,127
128,239669,J. Levi,"RW, RM",70,2100000.0,128
129,240271,D. Limnios,"RW, LW",70,2500000.0,129
130,241389,Y. Sarı,RW,70,3200000.0,130
