,sofifa_id,short_name,player_positions,overall,value_eur,id
0,220093,H. Hateboer,"RWB, RB, RM",81,25000000.0,0
1,226166,N. Mukiele,"RWB, CB, RM",81,34500000.0,1
2,235374,M. Lazzari,RWB,81,25000000.0,2
3,238074,R. James,"RWB, RB",81,37000000.0,3
4,227928,Nélson Semedo,"RWB, RB",80,22000000.0,4
5,243576,Pedro Porro,"RWB, RM",80,40500000.0,5
6,216150,D. Zappacosta,"RWB, RM, LM",79,15500000.0,6
7,224031,A. Marušić,"RWB, LWB, CB",79,16000000.0,7
8,184392,M. Darmian,"RWB, LWB, RB",78,10000000.0,8
9,203605,P. Kadeřábek,"RWB, RB, RM",78,12500000.0,9
10,212213,Ricardo Esgaio,"RWB, RB, RM",78,12500000.0,10
11,193254,C. Trimmel,"RWB, RM, RB",77,3900000.0,11
12,195272,M. Faraoni,"RWB, RB, RM",77,9500000.0,12
13,229971,F. Centonze,"RWB, RB",77,13000000.0,13
14,234678,J. Mæhle,"RWB, RB, RM",77,15000000.0,14
15,239093,J. Clauss,"RWB, RW",77,9500000.0,15
16,202429,D. da Costa,"RWB, RM",76,7000000.0,16
17,235875,Pol Lirola,"RWB, RM, RB",76,9500000.0,17
18,225147,C. Roberts,"RWB, RB",75,7000000.0,18
19,189484,D. Santon,"RWB, RB",74,3600000.0,19
20,207920,E. Durm,"RWB, RM",74,3700000.0,20
21,227873,A. Touré,"RWB, CB, RM",74,5000000.0,21
22,236466,C. Michelin,"RWB, RB",74,5500000.0,22
23,242418,T. Lamptey,"RWB, RB",74,9000000.0,23
24,244591,J. Bogle,"RWB, RB",74,9000000.0,24
25,200855,G. Baldock,"RWB, RB",73,2800000.0,25
26,233084,N. Molina,"RWB, RM",73,6500000.0,26
27,189043,D. Brosinski,"RWB, RB, LWB",72,1600000.0,27
28,189388,D. Diekmeier,"RWB, RB",72,1700000.0,28
29,199890,N. Lavanchy,"RWB, RM, LWB",72,2300000.0,29
30,223877,D. Furlong,"RWB, RB",72,3200000.0,30
31,229251,V. Mogoș,"RWB, RB, RM",72,2100000.0,31
32,253220,E. Dasa,"RWB, RB",72,2100000.0,32
